Subject,Session,Block,Condition,Trial,whetherCued,leftStim,rightStim,midStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
108,1,1,2,1,0,136.1214,256.3453,18.3652,0,0,0,3,0,0,0,18.3652,355.285,1.1109,-23.0802,10,
108,1,1,2,2,1,289.4795,225.4954,105.2208,2,3,1,2,1,0,0,225.4954,191.4789,1.1456,-34.0165,0,
108,1,1,2,3,1,347.5064,287.1586,109.9878,1,3,2,1,1,0,0,347.5064,325.7697,1.6735,-21.7367,10,
108,1,1,2,4,0,348.6529,108.2324,289.1658,0,0,0,2,0,0,0,108.2324,156.0849,1.1942,47.8526,0,
108,1,1,2,5,0,107.4617,228.4737,289.8637,0,0,0,3,0,0,0,289.8637,298.7141,1.2493,8.8505,30,
108,1,1,2,6,1,138.3022,255.2378,226.7439,1,3,2,2,0,0,1,255.2378,250.8611,1.319,-4.3767,30,
108,1,1,2,7,1,197.5189,257.448,49.3852,1,3,2,1,1,0,0,197.5189,224.4287,1.0416,26.9098,10,
108,1,1,2,8,1,105.0963,165.4194,19.874,3,1,2,3,1,0,0,19.874,227.909,0.89578,-151.965,0,
108,1,1,2,9,1,349.6502,286.9951,105.237,2,3,1,2,1,0,0,286.9951,288.6761,0.79863,1.681,40,
108,1,1,2,10,1,259.389,197.9122,285.3534,3,2,1,3,1,0,0,285.3534,281.7691,1.4512,-3.5844,30,
108,1,1,2,11,1,317.5194,78.234,226.5387,2,1,3,2,1,0,0,78.234,108.1616,0.986,29.9276,10,
108,1,1,2,12,0,226.4331,199.0041,19.4806,0,0,0,2,0,0,0,199.0041,186.3234,1.4581,-12.6807,20,
108,1,1,2,13,1,199.1477,319.2454,226.8627,2,3,1,2,1,0,0,319.2454,39.6562,0.7361,80.4108,0,
108,1,1,2,14,1,198.7837,137.0852,229.8589,3,2,1,1,0,0,1,198.7837,177.3115,1.1735,-21.4722,10,
108,1,1,2,15,1,317.252,136.0284,79.4983,2,3,1,2,1,0,0,136.0284,120.1205,0.96529,-15.9079,20,
108,1,1,2,16,1,166.9501,227.4895,288.474,3,1,2,3,1,0,0,288.474,297.332,1.2568,8.858,30,
108,1,1,2,17,0,255.5852,109.0734,346.6243,0,0,0,3,0,0,0,346.6243,345.1446,0.93744,-1.4797,40,
108,1,1,2,18,0,19.1594,45.6717,75.3023,0,0,0,2,0,0,0,45.6717,38.4951,0.8749,-7.1766,30,
108,1,1,2,19,1,139.9843,17.7677,197.5773,1,2,3,1,1,0,0,139.9843,151.4258,1.097,11.4415,30,
108,1,1,2,20,1,169.6556,105.9539,16.2929,3,2,1,1,0,0,1,169.6556,159.4048,1.0971,-10.2507,30,
108,1,1,2,21,1,198.6008,256.7345,227.585,1,3,2,1,1,0,0,198.6008,206.7537,0.75684,8.1528,30,
108,1,1,2,22,1,47.1514,228.4688,289.7261,3,2,1,3,1,0,0,289.7261,332.7127,1.0068,42.9866,0,
108,1,1,2,23,1,288.3452,197.5011,346.09,3,2,1,3,1,0,0,346.09,332.6599,1.2985,-13.4301,20,
108,1,1,2,24,1,229.3193,135.4885,169.5403,2,3,1,2,1,0,0,135.4885,125.6004,1.8123,-9.8881,30,
