Subject,Session,Block,Condition,Trial,whetherCued,leftStim,rightStim,midStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
117,1,1,1,1,0,136.1214,256.3453,18.3652,0,0,0,2,0,0,0,256.3453,267.8239,1.4932,11.4786,30,
117,1,1,1,2,0,289.4795,225.4954,105.2208,0,0,0,1,0,0,0,289.4795,254.3934,1.1106,-35.0861,0,
117,1,1,1,3,1,347.5064,287.1586,109.9878,2,1,3,2,1,0,0,287.1586,91.879,1.2637,164.7204,0,
117,1,1,1,4,0,348.6529,108.2324,289.1658,0,0,0,1,0,0,0,348.6529,256.2665,1.4373,-92.3865,0,
117,1,1,1,5,1,107.4617,228.4737,289.8637,3,2,1,3,1,0,0,289.8637,261.5488,1.3675,-28.3149,10,
117,1,1,1,6,1,138.3022,255.2378,226.7439,2,3,1,1,0,0,1,138.3022,86.6047,1.3821,-51.6974,0,
117,1,1,1,7,1,197.5189,257.448,49.3852,3,1,2,3,1,0,0,49.3852,245.8482,0.82635,-163.5371,0,
117,1,1,1,8,1,105.0963,165.4194,19.874,1,2,3,1,1,0,0,105.0963,266.9034,0.89575,161.8071,0,
117,1,1,1,9,0,349.6502,286.9951,105.237,0,0,0,1,0,0,0,349.6502,355.564,2.965,5.9138,30,
117,1,1,1,10,0,259.389,197.9122,285.3534,0,0,0,1,0,0,0,259.389,89.7387,0.99992,-169.6503,0,
117,1,1,1,11,1,317.5194,78.234,226.5387,2,1,3,2,1,0,0,78.234,82.3024,1.1319,4.0684,30,
117,1,1,1,12,1,226.4331,199.0041,19.4806,2,1,3,2,1,0,0,199.0041,65.0887,0.868,-133.9154,0,
117,1,1,1,13,1,199.1477,319.2454,226.8627,1,2,3,1,1,0,0,199.1477,272.1746,1.2012,73.027,0,
117,1,1,1,14,1,198.7837,137.0852,229.8589,1,2,3,2,0,1,0,137.0852,279.5758,1.9582,142.4906,0,
117,1,1,1,15,1,317.252,136.0284,79.4983,1,2,3,3,0,0,1,79.4983,268.3406,1.0348,-171.1577,0,
117,1,1,1,16,0,166.9501,227.4895,288.474,0,0,0,1,0,0,0,166.9501,175.6331,0.75692,8.6829,30,
117,1,1,1,17,0,255.5852,109.0734,346.6243,0,0,0,3,0,0,0,346.6243,89.8239,1.9443,103.1996,0,
117,1,1,1,18,1,19.1594,45.6717,75.3023,2,3,1,2,1,0,0,45.6717,58.9294,0.89575,13.2577,20,
117,1,1,1,19,1,139.9843,17.7677,197.5773,1,2,3,1,1,0,0,139.9843,181.4751,2.8331,41.4909,0,
117,1,1,1,20,1,169.6556,105.9539,16.2929,1,2,3,2,0,1,0,105.9539,58.9294,0.68055,-47.0245,0,
117,1,1,1,21,0,198.6008,256.7345,227.585,0,0,0,1,0,0,0,198.6008,181.4751,1.1249,-17.1257,20,
117,1,1,1,22,0,47.1514,228.4688,289.7261,0,0,0,2,0,0,0,228.4688,66.4057,0.74299,-162.0631,0,
