Subject,Session,Block,Condition,Trial,whetherCued,leftStim,rightStim,midStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
101201,2,1,1,1,1,137.5392,347.928,18.8144,1,3,2,2,0,0,1,347.928,9.8129,1.2909,21.8848,10,
101201,2,1,2,2,1,17.7694,108.4003,196.8359,3,2,1,1,0,0,1,17.7694,41.9548,1.371,24.1853,10,
101201,2,1,2,3,1,135.7013,16.3007,195.4341,2,3,1,3,0,1,0,195.4341,NaN,100000,999,0,
101201,2,1,3,4,1,346.1034,285.0065,135.9459,3,2,1,3,1,0,0,135.9459,140.8035,0.84044,4.8576,30,
101201,2,1,1,5,1,105.3418,17.1816,75.8693,3,2,1,3,1,0,0,75.8693,66.0734,0.6997,-9.7959,30,
101201,2,1,3,6,1,166.1401,16.8543,319.4546,1,3,2,1,1,0,0,166.1401,162.9201,1.3411,-3.2201,30,
101201,2,1,2,7,1,347.6621,78.5825,225.8965,1,2,3,1,1,0,0,347.6621,334.0621,1.1814,-13.6,20,
101201,2,1,1,8,1,169.6783,319.0936,48.6413,3,1,2,3,1,0,0,48.6413,39.2046,0.63053,-9.4367,30,
101201,2,1,2,9,1,108.812,17.8803,78.7383,1,3,2,3,0,1,0,78.7383,NaN,100000,999,0,
101201,2,1,3,10,1,347.6614,136.397,49.7312,3,1,2,2,0,0,1,136.397,NaN,100000,999,0,
101201,2,1,2,11,1,78.6346,196.8692,47.9079,1,2,3,3,0,0,1,47.9079,54.9268,1.3507,7.0189,30,
101201,2,1,3,12,1,45.7597,16.9855,196.8736,3,1,2,3,1,0,0,196.8736,212.735,0.77046,15.8614,20,
101201,2,1,1,13,1,138.2116,316.1063,79.1853,3,1,2,2,0,0,1,316.1063,323.2972,1.421,7.1908,30,
101201,2,1,2,14,1,319.2929,289.5553,168.4982,3,2,1,1,0,0,1,319.2929,302.9573,1.6412,-16.3356,20,
101201,2,1,3,15,1,287.6468,199.1499,49.2938,3,2,1,3,1,0,0,49.2938,45.4418,0.58023,-3.852,30,
101201,2,1,2,16,1,169.2518,139.5582,198.1964,2,3,1,2,1,0,0,139.5582,159.0732,1.411,19.5149,20,
101201,2,1,2,17,1,169.1329,48.3844,286.038,1,2,3,2,0,1,0,48.3844,NaN,100000,999,0,
101201,2,1,2,18,1,287.2569,316.9132,48.9482,3,1,2,1,0,1,0,287.2569,NaN,100000,999,0,
101201,2,1,3,19,1,228.7938,349.9761,315.9329,3,1,2,3,1,0,0,315.9329,293.853,0.60042,-22.0798,10,
101201,2,1,3,20,1,285.9688,47.1618,258.7458,2,3,1,1,0,0,1,285.9688,NaN,100000,999,0,
101201,2,1,3,21,1,19.6749,137.3974,346.159,1,2,3,2,0,1,0,137.3974,NaN,100000,999,0,
101201,2,1,2,22,1,287.6548,259.506,317.7028,3,2,1,3,1,0,0,317.7028,296.7516,0.79057,-20.9512,20,
101201,2,1,3,23,1,105.9911,165.9754,316.6342,2,1,3,2,1,0,0,165.9754,149.3733,1.341,-16.6021,20,
101201,2,1,1,24,1,109.0699,259.4922,77.1462,3,2,1,3,1,0,0,77.1462,68.9294,0.5404,-8.2167,30,
101201,2,1,1,25,1,315.4649,347.3174,285.0467,3,2,1,3,1,0,0,285.0467,277.8865,1.1207,-7.1601,30,
101201,2,1,1,26,1,77.1828,225.2461,105.2482,3,2,1,3,1,0,0,105.2482,85.985,0.85076,-19.2631,20,
101201,2,1,2,27,1,17.3062,228.1966,259.5867,1,2,3,1,1,0,0,17.3062,34.1747,0.48034,16.8685,20,
101201,2,1,3,28,1,19.9049,195.6352,286.1612,3,1,2,3,1,0,0,286.1612,278.4489,0.57044,-7.7123,30,
101201,2,1,1,29,1,19.2845,75.217,318.4581,2,3,1,3,0,1,0,318.4581,286.9824,0.98064,-31.4757,0,
101201,2,1,1,30,1,79.095,348.1246,228.6928,1,2,3,2,0,1,0,348.1246,339.4739,0.78056,-8.6508,30,
101201,2,1,2,31,1,49.4771,227.9126,257.9137,1,3,2,1,1,0,0,49.4771,74.8898,0.7704,25.4127,10,
101201,2,1,3,32,1,47.0319,136.931,228.049,1,3,2,1,1,0,0,47.0319,71.603,0.46036,24.5711,10,
101201,2,1,2,33,1,77.6151,16.6265,49.1592,3,1,2,3,1,0,0,49.1592,59.4909,0.95065,10.3317,30,
101201,2,1,2,34,1,137.6428,345.2572,78.7844,1,3,2,1,1,0,0,137.6428,136.6046,1.0907,-1.0382,40,
101201,2,1,1,35,1,168.7425,317.7165,226.6907,1,3,2,3,0,1,0,226.6907,289.1081,1.6311,62.4175,-20,
101201,2,1,3,36,1,315.1258,197.0721,138.657,3,2,1,3,1,0,0,138.657,124.3116,0.70051,-14.3454,20,
101201,2,1,1,37,1,315.8145,169.192,195.8378,1,2,3,1,1,0,0,315.8145,319.9274,1.1309,4.1129,30,
101201,2,1,1,38,1,109.7017,135.0292,228.0515,2,3,1,1,0,0,1,109.7017,115.0757,1.5113,5.374,30,
101201,2,1,2,39,1,256.4523,47.0128,289.3103,2,3,1,2,1,0,0,47.0128,60.3709,1.0408,13.3581,20,
101201,2,1,2,40,1,319.2054,76.7725,167.1503,3,1,2,3,1,0,0,167.1503,219.5212,1.291,52.3708,-10,
101201,2,1,2,41,1,289.8173,135.4295,167.5025,3,2,1,1,0,0,1,289.8173,294.7828,1.4414,4.9655,30,
