Subject,Session,Block,Condition,Trial,whetherCued,leftStim,rightStim,midStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
102,2,1,1,1,1,137.5392,347.928,18.8144,1,3,2,2,0,0,1,347.928,224.508,1.1408,-123.4201,-20,
102,2,1,2,2,1,17.7694,108.4003,196.8359,3,2,1,1,0,0,1,17.7694,30.8804,0.94041,13.111,20,
102,2,1,2,3,1,135.7013,16.3007,195.4341,2,3,1,3,0,1,0,195.4341,NaN,100000,999,0,
102,2,1,3,4,1,346.1034,285.0065,135.9459,3,2,1,3,1,0,0,135.9459,114.1336,0.98046,-21.8123,10,
102,2,1,1,5,1,105.3418,17.1816,75.8693,3,2,1,3,1,0,0,75.8693,54.2517,0.76977,-21.6175,10,
102,2,1,3,6,1,166.1401,16.8543,319.4546,1,3,2,1,1,0,0,166.1401,146.432,0.85072,-19.7082,20,
102,2,1,2,7,1,347.6621,78.5825,225.8965,1,2,3,1,1,0,0,347.6621,125.0868,0.4604,137.4247,-20,
102,2,1,1,8,1,169.6783,319.0936,48.6413,3,1,2,3,1,0,0,48.6413,31.3595,1.241,-17.2818,20,
102,2,1,2,9,1,108.812,17.8803,78.7383,1,3,2,3,0,1,0,78.7383,NaN,100000,999,0,
102,2,1,3,10,1,347.6614,136.397,49.7312,3,1,2,2,0,0,1,136.397,NaN,100000,999,0,
102,2,1,2,11,1,78.6346,196.8692,47.9079,1,2,3,3,0,0,1,47.9079,43.2509,1.0506,-4.657,30,
102,2,1,3,12,1,45.7597,16.9855,196.8736,3,1,2,3,1,0,0,196.8736,217.047,0.46034,20.1734,20,
102,2,1,1,13,1,138.2116,316.1063,79.1853,3,1,2,2,0,0,1,316.1063,313.2608,1.1408,-2.8455,40,
102,2,1,2,14,1,319.2929,289.5553,168.4982,3,2,1,1,0,0,1,319.2929,315.5832,1.0711,-3.7097,30,
102,2,1,3,15,1,287.6468,199.1499,49.2938,3,2,1,3,1,0,0,49.2938,50.6978,0.76069,1.404,40,
102,2,1,2,16,1,169.2518,139.5582,198.1964,2,3,1,2,1,0,0,139.5582,156.2504,0.87066,16.6921,20,
102,2,1,2,17,1,169.1329,48.3844,286.038,1,2,3,2,0,1,0,48.3844,NaN,100000,999,0,
102,2,1,2,18,1,287.2569,316.9132,48.9482,3,1,2,1,0,1,0,287.2569,NaN,100000,999,0,
102,2,1,3,19,1,228.7938,349.9761,315.9329,3,1,2,3,1,0,0,315.9329,320.8655,0.56047,4.9326,30,
102,2,1,3,20,1,285.9688,47.1618,258.7458,2,3,1,1,0,0,1,285.9688,NaN,100000,999,0,
102,2,1,3,21,1,19.6749,137.3974,346.159,1,2,3,2,0,1,0,137.3974,NaN,100000,999,0,
102,2,1,2,22,1,287.6548,259.506,317.7028,3,2,1,3,1,0,0,317.7028,313.8729,0.7306,-3.8298,30,
102,2,1,3,23,1,105.9911,165.9754,316.6342,2,1,3,2,1,0,0,165.9754,149.016,0.51034,-16.9593,20,
102,2,1,1,24,1,109.0699,259.4922,77.1462,3,2,1,3,1,0,0,77.1462,58.3949,0.67055,-18.7513,20,
102,2,1,1,25,1,315.4649,347.3174,285.0467,3,2,1,3,1,0,0,285.0467,292.3737,0.55046,7.3271,30,
