Subject,Session,Block,Condition,Trial,whetherCued,leftStim,rightStim,midStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
104,1,1,1,1,1,45.4981,288.5851,316.1979,2,3,1,2,1,0,0,288.5851,111.7893,0.94381,-176.7958,-20,
104,1,1,2,2,1,166.9119,79.5339,225.6194,2,3,1,2,1,0,0,79.5339,67.8287,1.1662,-11.7053,30,
104,1,1,2,3,1,19.9817,287.7766,138.2184,2,1,3,2,1,0,0,287.7766,311.3686,2.4306,23.592,10,
104,1,1,3,4,1,315.7679,165.4255,135.245,2,3,1,2,1,0,0,165.4255,134.762,1.5902,-30.6635,0,
104,1,1,1,5,1,19.3935,197.6361,135.6387,3,1,2,3,1,0,0,135.6387,129.0776,1.5,-6.5612,30,
104,1,1,2,6,1,165.9422,45.7637,19.9561,3,2,1,3,1,0,0,19.9561,38.1972,2.4588,18.2411,20,
104,1,1,2,7,1,316.2881,288.6409,346.1168,1,3,2,1,1,0,0,316.2881,325.8281,1.4236,9.54,30,
104,1,1,3,8,1,165.4352,257.9445,227.0394,3,2,1,1,0,0,1,165.4352,NaN,100000,999,0,
104,1,1,2,9,1,47.579,289.5564,78.7482,1,2,3,1,1,0,0,47.579,151.5472,1.1874,103.9682,-20,
104,1,1,1,10,1,315.4929,228.0498,166.117,3,2,1,1,0,0,1,315.4929,218.3226,2.6597,-97.1702,-20,
104,1,1,3,11,1,345.8762,229.2432,139.1495,1,3,2,1,1,0,0,345.8762,335.1618,1.6944,-10.7144,30,
104,1,1,2,12,1,105.5829,16.7671,345.4981,1,2,3,1,1,0,0,105.5829,128.6561,1.1808,23.0733,10,
104,1,1,2,13,1,315.4695,345.626,15.9426,1,3,2,1,1,0,0,315.4695,321.7182,2.3406,6.2486,30,
104,1,1,2,14,1,45.686,255.7113,225.0339,3,2,1,3,1,0,0,225.0339,228.0087,1.8889,2.9749,40,
104,1,1,1,15,1,106.3415,139.7307,255.5606,1,2,3,3,0,0,1,255.5606,205.5623,2.1597,-49.9983,-5,
104,1,1,2,16,1,48.1543,317.5758,345.644,1,2,3,1,1,0,0,48.1543,206.5446,2.8125,158.3903,-20,
104,1,1,3,17,1,349.2827,109.1236,287.2694,3,2,1,2,0,1,0,109.1236,NaN,100000,999,0,
104,1,1,1,18,1,46.377,15.6906,255.8819,2,1,3,2,1,0,0,15.6906,27.8432,0.79171,12.1527,20,
104,1,1,1,19,1,228.9916,167.5431,195.5895,3,1,2,1,0,1,0,228.9916,207.7353,1.2848,-21.2564,10,
104,1,1,1,20,1,166.8259,49.5484,107.7658,1,2,3,1,1,0,0,166.8259,179.6939,0.71532,12.868,20,
104,1,1,3,21,1,225.8802,105.6485,288.2863,3,1,2,3,1,0,0,288.2863,299.3821,0.97269,11.0959,30,
104,1,1,2,22,1,315.4187,229.4585,19.4404,1,2,3,1,1,0,0,315.4187,334.9661,1.7916,19.5474,20,
104,1,1,2,23,1,137.615,75.6134,105.4617,2,1,3,2,1,0,0,75.6134,60.7396,1.1667,-14.8738,20,
104,1,1,1,24,1,166.5901,346.431,199.5901,2,3,1,2,1,0,0,346.431,353.7717,1.2361,7.3407,30,
