Subject,Session,Block,Condition,Trial,whetherCued,leftStim,rightStim,midStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
101,1,1,2,1,1,47.1252,316.1985,168.7876,1,2,3,1,1,0,0,47.1252,29.971,1.3952,-17.1543,20,
101,1,1,2,2,1,169.5476,347.8437,255.9676,3,1,2,2,0,0,1,347.8437,336.7595,1.5278,-11.0842,30,
101,1,1,1,3,1,169.7327,136.4901,229.9791,2,1,3,2,1,0,0,136.4901,142.3462,2.1877,5.8561,30,
101,1,1,3,4,1,288.8759,168.0188,256.5805,1,3,2,1,1,0,0,288.8759,276.1265,1.146,-12.7494,20,
101,1,1,2,5,1,349.8372,319.4402,285.2484,2,3,1,2,1,0,0,319.4402,334.0658,1.3128,14.6256,20,
101,1,1,2,6,1,287.5232,107.8411,348.2109,3,2,1,2,0,1,0,107.8411,NaN,100000,999,0,
101,1,1,1,7,1,196.1884,19.7444,75.6788,3,2,1,3,1,0,0,75.6788,309.8197,1.2225,-125.8591,-20,
101,1,1,1,8,1,285.2274,47.5693,167.2281,3,1,2,2,0,0,1,47.5693,238.3411,1.7081,-169.2282,-20,
101,1,1,1,9,1,229.0212,287.979,196.6249,2,1,3,2,1,0,0,287.979,292.2143,1.1945,4.2353,30,
101,1,1,2,10,1,165.7001,197.9153,135.975,2,3,1,3,0,1,0,135.975,NaN,100000,999,0,
101,1,1,3,11,1,16.9319,45.1675,136.7336,1,3,2,2,0,0,1,45.1675,NaN,100000,999,0,
101,1,1,2,12,1,75.7673,225.2609,135.0753,1,3,2,3,0,1,0,135.0753,NaN,100000,999,0,
101,1,1,1,13,1,107.5506,288.0257,79.4154,3,1,2,3,1,0,0,79.4154,60.2842,1.6737,-19.1312,20,
101,1,1,1,14,1,76.8415,138.4802,19.7219,3,1,2,2,0,0,1,138.4802,127.2813,2.7433,-11.1989,30,
101,1,1,2,15,1,226.6345,317.838,19.1349,1,2,3,1,1,0,0,226.6345,228.3294,1.3889,1.695,40,
101,1,1,3,16,1,195.1735,345.6009,16.4186,2,1,3,2,1,0,0,345.6009,355.4297,1.4167,9.8287,30,
101,1,1,3,17,1,137.2206,347.2055,286.6335,2,3,1,2,1,0,0,347.2055,12.208,1.2152,25.0025,10,
101,1,1,2,18,1,257.5416,348.7778,165.5499,2,1,3,2,1,0,0,348.7778,346.1019,1.7014,-2.676,40,
101,1,1,3,19,1,17.7149,317.7008,78.9314,3,2,1,3,1,0,0,78.9314,30.9196,1.0765,-48.0119,-5,
101,1,1,3,20,1,138.9836,227.6481,18.7732,2,1,3,1,0,1,0,138.9836,NaN,100000,999,0,
101,1,1,2,21,1,79.394,138.0487,259.8388,3,2,1,1,0,0,1,79.394,62.2955,1.3472,-17.0985,20,
101,1,1,2,22,1,137.7629,108.202,287.9832,2,3,1,2,1,0,0,108.202,111.3455,1.2361,3.1435,30,
101,1,1,1,23,1,319.1114,109.557,255.736,3,2,1,3,1,0,0,255.736,104.7155,2.2986,-151.0205,-20,
101,1,1,2,24,1,196.3663,19.7557,229.5384,2,1,3,2,1,0,0,19.7557,52.6722,1.2361,32.9165,0,
101,1,1,3,25,1,345.1667,227.862,135.0465,1,3,2,2,0,0,1,227.862,NaN,100000,999,0,
101,1,1,3,26,1,49.4853,109.2179,17.4258,3,1,2,3,1,0,0,17.4258,11.4794,1.1806,-5.9463,30,
101,1,1,1,27,1,316.2209,48.5455,138.2943,2,3,1,2,1,0,0,48.5455,48.176,1.3753,-0.3695,40,
101,1,1,2,28,1,255.6515,77.62,195.2295,1,2,3,1,1,0,0,255.6515,248.6572,1.361,-6.9943,30,
101,1,1,3,29,1,19.3412,289.0933,137.9504,1,2,3,3,0,0,1,137.9504,NaN,100000,999,0,
101,1,1,1,30,1,18.8175,225.8203,198.4415,2,1,3,1,0,1,0,18.8175,205.8037,1.9028,-173.0138,-20,
101,1,1,1,31,1,107.6755,78.4296,289.7759,2,3,1,3,0,1,0,289.7759,278.0959,1.5694,-11.6801,30,
101,1,1,2,32,1,316.2588,257.0994,75.8592,1,3,2,1,1,0,0,316.2588,280.9706,1.132,-35.2882,0,
101,1,1,1,33,1,136.0963,169.4245,75.2441,1,3,2,1,1,0,0,136.0963,134.0673,1.1736,-2.029,40,
101,1,1,3,34,1,49.5679,226.901,135.1749,2,1,3,3,0,0,1,135.1749,NaN,100000,999,0,
101,1,1,3,35,1,166.4826,197.1409,225.962,1,3,2,3,0,1,0,225.962,NaN,100000,999,0,
101,1,1,3,36,1,169.3858,348.7526,107.1721,3,1,2,3,1,0,0,107.1721,106.1264,1.6944,-1.0457,40,
101,1,1,3,37,1,135.0814,289.4221,346.0516,1,2,3,2,0,1,0,289.4221,NaN,100000,999,0,
101,1,1,3,38,1,46.4634,346.7408,259.3799,2,3,1,2,1,0,0,346.7408,352.3948,2.2152,5.654,30,
101,1,1,1,39,1,256.2169,319.5996,198.5792,3,2,1,3,1,0,0,198.5792,245.2219,2.1319,46.6427,-5,
101,1,1,3,40,1,46.5135,199.3096,255.287,2,3,1,2,1,0,0,199.3096,217.7311,1.0695,18.4214,20,
101,1,1,3,41,1,345.9319,286.6203,135.2509,1,2,3,2,0,1,0,286.6203,NaN,100000,999,0,
101,1,1,1,42,1,17.9012,196.4392,136.3199,3,2,1,1,0,0,1,17.9012,22.412,1.7916,4.5108,30,
101,1,1,3,43,1,138.7679,108.7341,167.9302,3,2,1,1,0,0,1,138.7679,NaN,100000,999,0,
101,1,1,3,44,1,165.4944,229.1032,286.1356,3,1,2,3,1,0,0,286.1356,279.4227,1.1043,-6.7129,30,
101,1,1,2,45,1,316.6903,16.5249,198.2405,1,2,3,1,1,0,0,316.6903,322.2811,1.3958,5.5908,30,
101,1,1,3,46,1,346.7134,106.1915,199.9228,3,1,2,3,1,0,0,199.9228,209.793,1.1805,9.8702,30,
101,1,1,3,47,1,348.4818,256.0438,169.1207,3,1,2,3,1,0,0,169.1207,183.6734,1.1805,14.5527,20,
101,1,1,2,48,1,256.5536,48.002,108.9084,2,1,3,2,1,0,0,48.002,48.4257,1.007,0.42362,40,
101,1,1,3,49,1,226.8892,17.5899,285.473,1,3,2,1,1,0,0,226.8892,234.451,1.1389,7.5618,30,
101,1,1,2,50,1,317.233,287.434,165.8295,1,2,3,1,1,0,0,317.233,315.4225,1.493,-1.8105,40,
101,1,1,2,51,1,345.973,167.0874,256.4646,2,1,3,2,1,0,0,167.0874,150.8127,1.4375,-16.2747,20,
101,1,1,2,52,1,139.8041,46.1144,346.978,1,3,2,1,1,0,0,139.8041,158.1237,0.84027,18.3196,20,
101,1,1,1,53,1,225.5223,18.2612,49.9585,3,2,1,3,1,0,0,49.9585,28.4621,1.3474,-21.4964,10,
101,1,1,3,54,1,46.8983,198.5606,107.6176,1,2,3,2,0,1,0,198.5606,NaN,100000,999,0,
101,1,2,2,55,1,109.0573,197.2405,229.1531,1,2,3,1,1,0,0,109.0573,135.0386,1.4653,25.9814,10,
101,1,2,2,56,1,347.0691,15.9042,109.9782,3,1,2,3,1,0,0,109.9782,109.2357,1.6946,-0.74245,40,
101,1,2,3,57,1,137.2123,225.9187,256.2462,3,2,1,3,1,0,0,256.2462,235.2345,1.1528,-21.0116,10,
101,1,2,1,58,1,257.9503,16.1557,225.5097,3,2,1,3,1,0,0,225.5097,238.6822,1.1459,13.1724,20,
101,1,2,2,59,1,135.3953,77.5471,107.4345,2,1,3,2,1,0,0,77.5471,76.038,1.1736,-1.5091,40,
101,1,2,1,60,1,79.4974,315.5454,138.1729,1,3,2,1,1,0,0,79.4974,95.9469,1.2639,16.4495,20,
101,1,2,3,61,1,18.1866,349.7513,107.3819,3,1,2,3,1,0,0,107.3819,54.6493,1.1254,-52.7326,-10,
101,1,2,1,62,1,136.2537,316.3149,229.2196,1,2,3,1,1,0,0,136.2537,125.6972,1.1111,-10.5566,30,
101,1,2,1,63,1,47.7691,75.8942,199.2985,1,2,3,2,0,1,0,75.8942,70.8711,3.0833,-5.0232,30,
101,1,2,3,64,1,228.085,77.8902,346.494,1,2,3,1,1,0,0,228.085,243.999,1.0625,15.914,20,
101,1,2,2,65,1,316.2543,138.7984,349.4915,1,3,2,1,1,0,0,316.2543,319.959,1.2848,3.7048,30,
101,1,2,1,66,1,259.7369,17.9954,289.7444,1,3,2,1,1,0,0,259.7369,316.7927,1.9381,57.0557,-10,
101,1,2,1,67,1,106.7236,46.9239,197.9743,3,1,2,3,1,0,0,197.9743,47.3017,2.0208,-150.6726,-20,
101,1,2,2,68,1,258.0377,108.7544,229.9066,3,2,1,3,1,0,0,229.9066,243.3868,1.0069,13.4802,20,
101,1,2,2,69,1,196.777,137.8732,347.2997,2,1,3,2,1,0,0,137.8732,129.0699,2.1944,-8.8033,30,
101,1,2,1,70,1,229.9519,258.5867,199.9003,2,1,3,1,0,1,0,229.9519,256.4027,1.2847,26.4508,10,
101,1,2,1,71,1,16.9948,286.4196,256.5696,3,1,2,3,1,0,0,256.5696,244.2294,1.6805,-12.3402,20,
101,1,2,2,72,1,256.8038,346.2903,77.163,2,1,3,2,1,0,0,346.2903,340.7888,1.368,-5.5015,30,
101,1,2,1,73,1,75.2298,107.1218,15.0451,1,3,2,1,1,0,0,75.2298,76.036,1.5902,0.80623,40,
101,1,2,2,74,1,137.2672,106.4855,316.792,1,2,3,2,0,1,0,106.4855,NaN,100000,999,0,
101,1,2,1,75,1,136.2546,165.3306,318.6358,3,2,1,1,0,0,1,136.2546,117.7872,1.1114,-18.4674,20,
101,1,2,2,76,1,348.7958,229.694,139.0535,2,3,1,2,1,0,0,229.694,207.9871,1.5903,-21.7069,10,
101,1,2,3,77,1,169.5725,318.0854,136.6125,3,2,1,3,1,0,0,136.6125,121.52,1.3406,-15.0925,20,
101,1,2,3,78,1,76.4985,197.7383,49.9591,1,3,2,1,1,0,0,76.4985,74.5101,1.1597,-1.9884,40,
101,1,2,1,79,1,197.6044,349.2332,139.2181,3,1,2,2,0,0,1,349.2332,79.227,2.3611,89.9938,-20,
