Subject,Session,Block,Condition,Trial,whetherCued,leftStim,rightStim,midStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
110,1,1,2,1,1,47.1252,316.1985,168.7876,1,2,3,1,1,0,0,47.1252,59.7877,2.3741,12.6624,20,
110,1,1,2,2,1,169.5476,347.8437,255.9676,3,1,2,2,0,0,1,347.8437,306.3827,5.8678,-41.461,-5,
110,1,1,1,3,1,169.7327,136.4901,229.9791,2,1,3,2,1,0,0,136.4901,122.0846,1.389,-14.4055,20,
110,1,1,3,4,1,288.8759,168.0188,256.5805,1,3,2,1,1,0,0,288.8759,239.7577,2.729,-49.1182,-5,
110,1,1,2,5,1,349.8372,319.4402,285.2484,2,3,1,2,1,0,0,319.4402,330.1546,3.2014,10.7145,30,
110,1,1,2,6,1,287.5232,107.8411,348.2109,3,2,1,2,0,1,0,107.8411,NaN,100000,999,0,
110,1,1,1,7,1,196.1884,19.7444,75.6788,3,2,1,3,1,0,0,75.6788,19.6354,2.5486,-56.0433,-10,
110,1,1,1,8,1,285.2274,47.5693,167.2281,3,1,2,2,0,0,1,47.5693,31.1425,2.7361,-16.4267,20,
110,1,1,1,9,1,229.0212,287.979,196.6249,2,1,3,2,1,0,0,287.979,18.694,1.9444,90.715,-20,
110,1,1,2,10,1,165.7001,197.9153,135.975,2,3,1,3,0,1,0,135.975,NaN,100000,999,0,
110,1,1,3,11,1,16.9319,45.1675,136.7336,1,3,2,2,0,0,1,45.1675,NaN,100000,999,0,
110,1,1,2,12,1,75.7673,225.2609,135.0753,1,3,2,3,0,1,0,135.0753,NaN,100000,999,0,
110,1,1,1,13,1,107.5506,288.0257,79.4154,3,1,2,3,1,0,0,79.4154,132.7837,4.5832,53.3684,-10,
110,1,1,1,14,1,76.8415,138.4802,19.7219,3,1,2,2,0,0,1,138.4802,132.3609,4.4096,-6.1193,30,
110,1,1,2,15,1,226.6345,317.838,19.1349,1,2,3,1,1,0,0,226.6345,230.1699,2.3264,3.5354,30,
110,1,1,3,16,1,195.1735,345.6009,16.4186,2,1,3,2,1,0,0,345.6009,347.2197,2.5487,1.6187,40,
110,1,1,3,17,1,137.2206,347.2055,286.6335,2,3,1,2,1,0,0,347.2055,350.7181,2.8541,3.5127,30,
110,1,1,2,18,1,257.5416,348.7778,165.5499,2,1,3,2,1,0,0,348.7778,345.4773,5.8332,-3.3005,30,
110,1,1,3,19,1,17.7149,317.7008,78.9314,3,2,1,3,1,0,0,78.9314,32.4406,4.5415,-46.4909,-5,
110,1,1,3,20,1,138.9836,227.6481,18.7732,2,1,3,1,0,1,0,138.9836,NaN,100000,999,0,
110,1,1,2,21,1,79.394,138.0487,259.8388,3,2,1,1,0,0,1,79.394,134.7366,2.2158,55.3426,-10,
110,1,1,2,22,1,137.7629,108.202,287.9832,2,3,1,2,1,0,0,108.202,128.3016,3.5832,20.0996,20,
110,1,1,1,23,1,319.1114,109.557,255.736,3,2,1,3,1,0,0,255.736,282.3385,4.5692,26.6025,10,
110,1,1,2,24,1,196.3663,19.7557,229.5384,2,1,3,2,1,0,0,19.7557,35.8323,1.4028,16.0766,20,
110,1,1,3,25,1,345.1667,227.862,135.0465,1,3,2,2,0,0,1,227.862,NaN,100000,999,0,
110,1,1,3,26,1,49.4853,109.2179,17.4258,3,1,2,3,1,0,0,17.4258,322.9649,4.7708,-54.4608,-10,
110,1,1,1,27,1,316.2209,48.5455,138.2943,2,3,1,2,1,0,0,48.5455,33.4539,1.7361,-15.0916,20,
110,1,1,2,28,1,255.6515,77.62,195.2295,1,2,3,1,1,0,0,255.6515,224.9698,3.1874,-30.6816,0,
110,1,1,3,29,1,19.3412,289.0933,137.9504,1,2,3,3,0,0,1,137.9504,NaN,100000,999,0,
110,1,1,1,30,1,18.8175,225.8203,198.4415,2,1,3,1,0,1,0,18.8175,213.9945,2.6388,-164.8231,-20,
110,1,1,1,31,1,107.6755,78.4296,289.7759,2,3,1,3,0,1,0,289.7759,134.3203,2.7222,-155.4556,-20,
110,1,1,2,32,1,316.2588,257.0994,75.8592,1,3,2,1,1,0,0,316.2588,321.3102,2.6666,5.0514,30,
110,1,1,1,33,1,136.0963,169.4245,75.2441,1,3,2,1,1,0,0,136.0963,136.5135,2.7226,0.41718,40,
110,1,1,3,34,1,49.5679,226.901,135.1749,2,1,3,3,0,0,1,135.1749,NaN,100000,999,0,
110,1,1,3,35,1,166.4826,197.1409,225.962,1,3,2,3,0,1,0,225.962,NaN,100000,999,0,
110,1,1,3,36,1,169.3858,348.7526,107.1721,3,1,2,3,1,0,0,107.1721,133.4547,3.3893,26.2826,10,
110,1,1,3,37,1,135.0814,289.4221,346.0516,1,2,3,2,0,1,0,289.4221,NaN,100000,999,0,
110,1,1,3,38,1,46.4634,346.7408,259.3799,2,3,1,2,1,0,0,346.7408,342.2489,2.1527,-4.4919,30,
110,1,1,1,39,1,256.2169,319.5996,198.5792,3,2,1,3,1,0,0,198.5792,205.4668,2.3472,6.8876,30,
110,1,1,3,40,1,46.5135,199.3096,255.287,2,3,1,2,1,0,0,199.3096,221.5472,3.4166,22.2376,10,
110,1,1,3,41,1,345.9319,286.6203,135.2509,1,2,3,2,0,1,0,286.6203,NaN,100000,999,0,
110,1,1,1,42,1,17.9012,196.4392,136.3199,3,2,1,1,0,0,1,17.9012,143.3923,7.4932,125.4911,-20,
110,1,1,3,43,1,138.7679,108.7341,167.9302,3,2,1,1,0,0,1,138.7679,NaN,100000,999,0,
110,1,1,3,44,1,165.4944,229.1032,286.1356,3,1,2,3,1,0,0,286.1356,297.846,2.3056,11.7104,30,
110,1,1,2,45,1,316.6903,16.5249,198.2405,1,2,3,1,1,0,0,316.6903,329.9298,3.1041,13.2395,20,
110,1,1,3,46,1,346.7134,106.1915,199.9228,3,1,2,3,1,0,0,199.9228,217.383,2.2571,17.4602,20,
110,1,1,3,47,1,348.4818,256.0438,169.1207,3,1,2,3,1,0,0,169.1207,185.1911,3.757,16.0703,20,
110,1,1,2,48,1,256.5536,48.002,108.9084,2,1,3,2,1,0,0,48.002,124.671,2.6597,76.6689,-20,
110,1,1,3,49,1,226.8892,17.5899,285.473,1,3,2,1,1,0,0,226.8892,217.3203,2.0279,-9.5689,30,
110,1,1,2,50,1,317.233,287.434,165.8295,1,2,3,1,1,0,0,317.233,313.1013,2.611,-4.1317,30,
110,1,1,2,51,1,345.973,167.0874,256.4646,2,1,3,2,1,0,0,167.0874,127.6464,2.368,-39.441,0,
110,1,1,2,52,1,139.8041,46.1144,346.978,1,3,2,1,1,0,0,139.8041,142.6251,2.5488,2.821,40,
110,1,1,1,53,1,225.5223,18.2612,49.9585,3,2,1,3,1,0,0,49.9585,27.8173,4.0765,-22.1412,10,
110,1,1,3,54,1,46.8983,198.5606,107.6176,1,2,3,2,0,1,0,198.5606,NaN,100000,999,0,
110,1,2,2,55,1,109.0573,197.2405,229.1531,1,2,3,1,1,0,0,109.0573,118.5869,2.1249,9.5297,30,
110,1,2,2,56,1,347.0691,15.9042,109.9782,3,1,2,3,1,0,0,109.9782,130.4211,2.1875,20.4429,20,
110,1,2,3,57,1,137.2123,225.9187,256.2462,3,2,1,3,1,0,0,256.2462,233.5518,2.4027,-22.6944,10,
110,1,2,1,58,1,257.9503,16.1557,225.5097,3,2,1,3,1,0,0,225.5097,236.6535,1.5973,11.1438,30,
110,1,2,2,59,1,135.3953,77.5471,107.4345,2,1,3,2,1,0,0,77.5471,71.6786,1.4514,-5.8685,30,
110,1,2,1,60,1,79.4974,315.5454,138.1729,1,3,2,1,1,0,0,79.4974,72.5602,2.2014,-6.9372,30,
110,1,2,3,61,1,18.1866,349.7513,107.3819,3,1,2,3,1,0,0,107.3819,126.532,2.9305,19.1501,20,
110,1,2,1,62,1,136.2537,316.3149,229.2196,1,2,3,1,1,0,0,136.2537,135.7448,1.6944,-0.50892,40,
110,1,2,1,63,1,47.7691,75.8942,199.2985,1,2,3,2,0,1,0,75.8942,34.7964,2.9097,-41.0979,-5,
110,1,2,3,64,1,228.085,77.8902,346.494,1,2,3,1,1,0,0,228.085,218.2809,1.7916,-9.8042,30,
110,1,2,2,65,1,316.2543,138.7984,349.4915,1,3,2,1,1,0,0,316.2543,322.6339,2.361,6.3796,30,
110,1,2,1,66,1,259.7369,17.9954,289.7444,1,3,2,1,1,0,0,259.7369,248.6007,1.6945,-11.1363,30,
110,1,2,1,67,1,106.7236,46.9239,197.9743,3,1,2,3,1,0,0,197.9743,219.5741,2.6528,21.5998,10,
110,1,2,2,68,1,258.0377,108.7544,229.9066,3,2,1,3,1,0,0,229.9066,216.4207,2.3611,-13.4859,20,
110,1,2,2,69,1,196.777,137.8732,347.2997,2,1,3,2,1,0,0,137.8732,135.545,2.6111,-2.3282,40,
110,1,2,1,70,1,229.9519,258.5867,199.9003,2,1,3,1,0,1,0,229.9519,219.337,2.868,-10.615,30,
110,1,2,1,71,1,16.9948,286.4196,256.5696,3,1,2,3,1,0,0,256.5696,228.7407,2.9999,-27.8288,10,
110,1,2,2,72,1,256.8038,346.2903,77.163,2,1,3,2,1,0,0,346.2903,341.241,2.6181,-5.0493,30,
110,1,2,1,73,1,75.2298,107.1218,15.0451,1,3,2,1,1,0,0,75.2298,285.1611,4.8193,-150.0687,-20,
110,1,2,2,74,1,137.2672,106.4855,316.792,1,2,3,2,0,1,0,106.4855,NaN,100000,999,0,
110,1,2,1,75,1,136.2546,165.3306,318.6358,3,2,1,1,0,0,1,136.2546,138.4249,2.4583,2.1703,40,
110,1,2,2,76,1,348.7958,229.694,139.0535,2,3,1,2,1,0,0,229.694,232.6126,1.7709,2.9186,40,
110,1,2,3,77,1,169.5725,318.0854,136.6125,3,2,1,3,1,0,0,136.6125,128.4799,1.6111,-8.1326,30,
110,1,2,3,78,1,76.4985,197.7383,49.9591,1,3,2,1,1,0,0,76.4985,134.8412,1.2778,58.3427,-10,
110,1,2,1,79,1,197.6044,349.2332,139.2181,3,1,2,2,0,0,1,349.2332,20.0451,2.2157,30.8119,0,
110,1,2,1,80,1,167.9666,78.631,347.1419,2,1,3,2,1,0,0,78.631,53.6076,2.2082,-25.0234,10,
110,1,2,3,81,1,349.691,19.4936,48.4743,3,1,2,3,1,0,0,48.4743,27.6408,1.243,-20.8335,20,
110,1,2,1,82,1,199.7903,76.0327,225.7985,2,1,3,2,1,0,0,76.0327,51.6458,1.5486,-24.3869,10,
110,1,2,1,83,1,227.8605,198.5861,109.8828,2,1,3,3,0,0,1,109.8828,15.9995,2.6042,-93.8833,-20,
110,1,2,2,84,1,135.1475,259.9972,348.0257,2,3,1,1,0,0,1,135.1475,295.7886,2.1527,160.6411,-20,
110,1,2,3,85,1,198.6284,15.77,347.5454,2,3,1,2,1,0,0,15.77,31.6065,1.7847,15.8365,20,
110,1,2,1,86,1,75.8851,199.4114,47.7563,2,3,1,1,0,0,1,75.8851,210.6674,3.8334,134.7824,-20,
110,1,2,3,87,1,319.3273,15.2076,168.071,3,2,1,1,0,0,1,319.3273,NaN,100000,999,0,
110,1,2,3,88,1,199.4614,19.9045,258.2349,2,3,1,2,1,0,0,19.9045,34.5084,1.75,14.6039,20,
110,1,2,3,89,1,318.5248,107.1904,169.8405,2,3,1,1,0,0,1,318.5248,NaN,100000,999,0,
110,1,2,3,90,1,138.4994,315.06,255.0244,1,3,2,1,1,0,0,138.4994,228.2242,6.0623,89.7248,-20,
110,1,2,1,91,1,107.8361,165.9588,49.5312,1,2,3,2,0,1,0,165.9588,114.4601,1.9587,-51.4987,-10,
110,1,2,2,92,1,199.0242,106.802,169.5691,2,3,1,3,0,1,0,169.5691,NaN,100000,999,0,
110,1,2,3,93,1,137.8557,318.4511,49.4778,1,3,2,3,0,1,0,49.4778,NaN,100000,999,0,
110,1,2,1,94,1,49.9703,197.306,227.4668,3,1,2,3,1,0,0,227.4668,169.0293,3.1879,-58.4375,-10,
110,1,2,2,95,1,318.5017,349.7809,18.1773,2,1,3,2,1,0,0,349.7809,349.267,2.1806,-0.5139,40,
110,1,2,1,96,1,138.2678,226.8327,47.4062,1,2,3,3,0,0,1,47.4062,158.8849,2.9513,111.4786,-20,
110,1,2,1,97,1,257.1413,349.1296,138.0859,2,3,1,2,1,0,0,349.1296,44.1803,3.2708,55.0507,-10,
110,1,2,3,98,1,315.2468,106.005,17.4957,1,2,3,1,1,0,0,315.2468,320.0841,1.9653,4.8373,30,
110,1,2,3,99,1,256.0699,109.8308,197.4219,2,3,1,2,1,0,0,109.8308,119.0535,1.7917,9.2226,30,
110,1,2,1,100,1,136.3607,259.5673,318.0273,3,2,1,2,0,1,0,259.5673,41.5107,5.7429,141.9434,-20,
110,1,2,1,101,1,167.4035,316.3926,257.9525,1,3,2,1,1,0,0,167.4035,210.5741,3.2083,43.1706,-5,
110,1,2,3,102,1,75.999,196.8347,348.5979,2,3,1,2,1,0,0,196.8347,164.1448,1.8125,-32.6899,0,
110,1,2,1,103,1,78.7107,318.1296,108.6455,3,2,1,3,1,0,0,108.6455,148.9032,2.7574,40.2578,-5,
110,1,2,2,104,1,345.5178,285.656,17.5753,3,1,2,1,0,1,0,345.5178,NaN,100000,999,0,
110,1,2,2,105,1,226.6039,288.0814,195.0345,3,1,2,2,0,0,1,288.0814,245.7236,1.4722,-42.3578,-5,
110,1,2,3,106,1,347.7779,17.1662,255.2921,2,1,3,1,0,1,0,347.7779,NaN,100000,999,0,
110,1,2,1,107,1,165.9165,256.13,17.0598,2,1,3,3,0,0,1,17.0598,355.2985,2.5,-21.7613,10,
110,1,2,3,108,1,18.261,77.4088,286.913,3,1,2,1,0,1,0,18.261,NaN,100000,999,0,
110,1,3,3,109,1,48.1474,347.8137,17.7058,3,1,2,3,1,0,0,17.7058,14.9876,2.2778,-2.7181,40,
110,1,3,2,110,1,137.5314,77.936,105.6641,3,2,1,3,1,0,0,105.6641,66.8519,1.1458,-38.8122,0,
110,1,3,2,111,1,287.0131,345.4561,168.6027,3,1,2,3,1,0,0,168.6027,206.5612,1.2848,37.9584,0,
110,1,3,3,112,1,196.6518,256.8244,317.9617,1,2,3,1,1,0,0,196.6518,29.816,2.6323,-166.8358,-20,
110,1,3,3,113,1,138.286,317.8598,47.0105,2,3,1,2,1,0,0,317.8598,327.714,1.4236,9.8542,30,
110,1,3,3,114,1,107.8205,349.2763,47.9458,1,3,2,3,0,1,0,47.9458,NaN,100000,999,0,
110,1,3,2,115,1,166.0262,255.4779,107.1637,1,3,2,3,0,1,0,107.1637,NaN,100000,999,0,
110,1,3,2,116,1,45.6364,345.0785,108.7654,1,3,2,1,1,0,0,45.6364,143.1623,2.1667,97.5259,-20,
110,1,3,2,117,1,316.3919,167.711,137.2166,2,1,3,2,1,0,0,167.711,111.5394,5.1318,-56.1716,-10,
110,1,3,1,118,1,16.7012,196.7824,316.8652,1,2,3,1,1,0,0,16.7012,202.893,2.3124,-173.8082,-20,
110,1,3,2,119,1,16.1904,168.8558,106.367,3,1,2,3,1,0,0,106.367,293.7955,1.125,-172.5716,-20,
110,1,3,1,120,1,139.5788,228.1487,259.7795,1,3,2,2,0,0,1,228.1487,94.8942,3.6457,-133.2545,-20,
110,1,3,1,121,1,286.9801,317.6613,139.5182,3,2,1,3,1,0,0,139.5182,289.6768,0.88924,150.1586,-20,
110,1,3,1,122,1,109.031,289.8454,17.6212,1,2,3,1,1,0,0,109.031,140.0122,1.5555,30.9812,0,
110,1,3,1,123,1,317.8623,168.7085,15.383,2,1,3,2,1,0,0,168.7085,125.5425,2.5208,-43.166,-5,
110,1,3,1,124,1,347.9023,49.8174,259.2244,1,3,2,1,1,0,0,347.9023,331.4401,2.118,-16.4622,20,
110,1,3,2,125,1,109.6535,165.8333,198.9462,1,3,2,1,1,0,0,109.6535,139.1697,1.5694,29.5163,10,
110,1,3,2,126,1,196.717,285.6807,18.3294,1,3,2,1,1,0,0,196.717,221.1784,1.1111,24.4615,10,
110,1,3,1,127,1,348.6941,316.8603,76.9026,1,3,2,1,1,0,0,348.6941,329.4884,2.3125,-19.2058,20,
110,1,3,3,128,1,225.5368,77.2774,48.2729,2,3,1,2,1,0,0,77.2774,63.8662,1.3056,-13.4111,20,
110,1,3,1,129,1,48.508,16.8068,315.007,3,1,2,3,1,0,0,315.007,308.7907,1.257,-6.2162,30,
110,1,3,2,130,1,288.7961,225.7303,109.6554,2,1,3,1,0,1,0,288.7961,NaN,100000,999,0,
