Subject,Session,Block,Condition,Trial,whetherCued,leftStim,rightStim,midStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
116,1,1,1,1,1,45.4981,288.5851,316.1979,2,3,1,2,1,0,0,288.5851,303.5062,2.5013,14.9211,20,
116,1,1,2,2,1,166.9119,79.5339,225.6194,2,3,1,2,1,0,0,79.5339,69.8639,2.7815,-9.67,30,
116,1,1,2,3,1,19.9817,287.7766,138.2184,2,1,3,2,1,0,0,287.7766,302.0976,3.0721,14.3211,20,
116,1,1,3,4,1,315.7679,165.4255,135.245,2,3,1,2,1,0,0,165.4255,137.6525,1.7311,-27.773,10,
116,1,1,1,5,1,19.3935,197.6361,135.6387,3,1,2,3,1,0,0,135.6387,21.8934,1.8711,-113.7453,-20,
116,1,1,2,6,1,165.9422,45.7637,19.9561,3,2,1,3,1,0,0,19.9561,19.3357,1.6316,-0.62037,40,
116,1,1,2,7,1,316.2881,288.6409,346.1168,1,3,2,1,1,0,0,316.2881,298.7715,2.1815,-17.5166,20,
116,1,1,3,8,1,165.4352,257.9445,227.0394,3,2,1,1,0,0,1,165.4352,NaN,100000,999,0,
116,1,1,2,9,1,47.579,289.5564,78.7482,1,2,3,1,1,0,0,47.579,242.0474,1.7117,-165.5316,-20,
116,1,1,1,10,1,315.4929,228.0498,166.117,3,2,1,1,0,0,1,315.4929,282.1791,4.2729,-33.3138,0,
116,1,1,3,11,1,345.8762,229.2432,139.1495,1,3,2,1,1,0,0,345.8762,355.2281,4.5135,9.3519,30,
116,1,1,2,12,1,105.5829,16.7671,345.4981,1,2,3,1,1,0,0,105.5829,109.3178,2.992,3.7349,30,
116,1,1,2,13,1,315.4695,345.626,15.9426,1,3,2,1,1,0,0,315.4695,102.4134,1.8012,146.9438,-20,
116,1,1,2,14,1,45.686,255.7113,225.0339,3,2,1,3,1,0,0,225.0339,202.6002,2.3216,-22.4336,10,
116,1,1,1,15,1,106.3415,139.7307,255.5606,1,2,3,3,0,0,1,255.5606,205.4409,1.9214,-50.1198,-10,
116,1,1,2,16,1,48.1543,317.5758,345.644,1,2,3,1,1,0,0,48.1543,64.5115,1.7812,16.3572,20,
116,1,1,3,17,1,349.2827,109.1236,287.2694,3,2,1,2,0,1,0,109.1236,NaN,100000,999,0,
116,1,1,1,18,1,46.377,15.6906,255.8819,2,1,3,2,1,0,0,15.6906,345.3708,1.8113,-30.3198,0,
116,1,1,1,19,1,228.9916,167.5431,195.5895,3,1,2,1,0,1,0,228.9916,180.5724,2.3716,-48.4192,-5,
116,1,1,1,20,1,166.8259,49.5484,107.7658,1,2,3,1,1,0,0,166.8259,180.7579,2.5317,13.932,20,
116,1,1,3,21,1,225.8802,105.6485,288.2863,3,1,2,3,1,0,0,288.2863,241.3797,2.4517,-46.9066,-5,
116,1,1,2,22,1,315.4187,229.4585,19.4404,1,2,3,1,1,0,0,315.4187,348.9684,1.9413,33.5497,0,
116,1,1,2,23,1,137.615,75.6134,105.4617,2,1,3,2,1,0,0,75.6134,74.5879,2.1515,-1.0255,40,
116,1,1,1,24,1,166.5901,346.431,199.5901,2,3,1,2,1,0,0,346.431,348.085,2.7919,1.654,40,
116,1,1,3,25,1,349.8208,75.661,195.6843,3,1,2,3,1,0,0,195.6843,200.6245,1.9914,4.9402,30,
116,1,1,1,26,1,286.4091,199.3139,345.5488,2,1,3,3,0,0,1,345.5488,205.8519,2.3116,-139.6969,-20,
116,1,1,3,27,1,138.5931,289.5057,195.277,1,3,2,1,1,0,0,138.5931,156.1095,1.9214,17.5164,20,
116,1,1,2,28,1,46.4484,195.9926,349.6591,2,3,1,2,1,0,0,195.9926,158.5841,2.2016,-37.4085,0,
116,1,1,1,29,1,229.9319,258.1198,77.9813,2,1,3,2,1,0,0,258.1198,250.1306,2.4922,-7.9891,30,
116,1,1,3,30,1,229.6241,167.8213,317.2712,2,1,3,2,1,0,0,167.8213,160.2471,3.4527,-7.5741,30,
116,1,1,1,31,1,196.9802,47.343,317.25,1,2,3,1,1,0,0,196.9802,185.138,1.5211,-11.8422,30,
116,1,1,2,32,1,348.8908,226.7973,169.2427,1,3,2,3,0,1,0,169.2427,NaN,100000,999,0,
116,1,1,1,33,1,259.0839,139.9951,315.2254,1,3,2,1,1,0,0,259.0839,258.9221,2.6218,-0.1618,40,
116,1,1,1,34,1,136.1263,195.9236,18.4912,2,3,1,2,1,0,0,195.9236,165.8585,1.6311,-30.0651,0,
116,1,1,3,35,1,138.1346,257.6502,227.5714,2,3,1,1,0,0,1,138.1346,NaN,100000,999,0,
116,1,1,1,36,1,198.5251,258.5756,136.8061,3,2,1,3,1,0,0,136.8061,136.0939,2.5517,-0.71223,40,
116,1,1,1,37,1,198.1884,139.8762,256.6554,1,2,3,1,1,0,0,198.1884,356.7411,3.1421,158.5527,-20,
116,1,1,3,38,1,255.4411,16.8925,138.8475,3,2,1,1,0,0,1,255.4411,NaN,100000,999,0,
116,1,1,1,39,1,109.3553,318.4272,347.5595,3,1,2,3,1,0,0,347.5595,357.4053,1.5811,9.8458,30,
116,1,1,1,40,1,78.3758,166.1966,285.1424,2,1,3,1,0,1,0,78.3758,89.1489,4.6432,10.773,30,
116,1,1,2,41,1,167.6466,138.9619,228.8577,1,3,2,3,0,1,0,228.8577,NaN,100000,999,0,
116,1,1,2,42,1,195.5106,229.4354,287.3362,3,2,1,3,1,0,0,287.3362,293.219,1.7212,5.8828,30,
116,1,1,1,43,1,229.4634,107.308,258.0259,1,3,2,1,1,0,0,229.4634,181.9394,1.2109,-47.5239,-5,
116,1,1,1,44,1,255.7305,45.8835,167.9145,2,1,3,2,1,0,0,45.8835,47.9724,2.812,2.0889,40,
116,1,1,1,45,1,289.6375,259.7911,229.009,2,3,1,2,1,0,0,259.7911,260.5445,3.2422,0.7534,40,
116,1,1,1,46,1,228.5675,135.3149,105.9122,1,2,3,1,1,0,0,228.5675,252.1959,2.7419,23.6284,10,
116,1,1,1,47,1,346.3617,105.6873,228.5435,2,1,3,2,1,0,0,105.6873,76.2884,1.5415,-29.399,10,
116,1,1,2,48,1,17.066,168.5431,316.6607,1,3,2,1,1,0,0,17.066,182.8038,2.3717,165.7378,-20,
116,1,1,1,49,1,286.9282,136.0193,166.9334,1,3,2,1,1,0,0,286.9282,276.159,1.5911,-10.7693,30,
116,1,1,2,50,1,17.5122,286.995,169.8022,3,1,2,3,1,0,0,169.8022,180.268,2.0214,10.4658,30,
116,1,1,1,51,1,229.3097,318.7936,19.6887,2,1,3,2,1,0,0,318.7936,327.366,2.2215,8.5724,30,
116,1,1,2,52,1,138.8085,109.9362,258.555,2,3,1,1,0,0,1,138.8085,168.1479,2.0715,29.3394,10,
116,1,1,1,53,1,317.5615,136.9802,169.6035,3,2,1,3,1,0,0,169.6035,176.5845,2.1617,6.981,30,
116,1,1,1,54,1,108.671,169.827,258.815,1,3,2,1,1,0,0,108.671,99.67,2.4217,-9.0009,30,
116,1,2,3,55,1,285.8845,256.2301,199.9592,2,3,1,2,1,0,0,256.2301,256.113,1.8613,-0.11702,40,
116,1,2,3,56,1,285.4867,195.3292,75.3014,2,1,3,1,0,1,0,285.4867,NaN,100000,999,0,
116,1,2,1,57,1,347.0052,139.3414,259.7872,2,3,1,2,1,0,0,139.3414,130.9386,1.4211,-8.4028,30,
116,1,2,3,58,1,17.7128,228.1538,196.3454,1,2,3,1,1,0,0,17.7128,355.9726,3.0722,-21.7402,10,
116,1,2,1,59,1,139.3985,229.2571,258.3601,1,3,2,2,0,0,1,229.2571,271.2791,3.4524,42.022,-5,
116,1,2,1,60,1,107.6437,47.006,288.7596,3,1,2,1,0,1,0,107.6437,171.1909,2.8419,63.5471,-20,
116,1,2,2,61,1,166.7789,16.5927,78.4489,2,3,1,2,1,0,0,16.5927,10.6423,3.6425,-5.9504,30,
116,1,2,1,62,1,316.7582,18.8656,106.601,2,3,1,1,0,0,1,316.7582,146.7622,1.8213,-169.996,-20,
116,1,2,2,63,1,165.2584,196.3338,258.9144,3,1,2,3,1,0,0,258.9144,233.0227,1.5911,-25.8917,10,
116,1,2,3,64,1,257.5084,319.206,288.898,2,3,1,2,1,0,0,319.206,316.1204,1.7512,-3.0856,30,
116,1,2,2,65,1,229.2363,285.194,77.6361,3,2,1,3,1,0,0,77.6361,47.6834,1.8913,-29.9527,10,
116,1,2,1,66,1,228.5826,315.1573,106.2142,3,2,1,2,0,1,0,315.1573,72.3917,2.2916,117.2344,-20,
116,1,2,2,67,1,318.6045,106.0202,256.7029,1,3,2,1,1,0,0,318.6045,148.8292,1.8612,-169.7753,-20,
116,1,2,2,68,1,316.7824,77.1599,286.3704,1,3,2,3,0,1,0,286.3704,NaN,100000,999,0,
116,1,2,1,69,1,77.4583,225.8363,288.5544,2,1,3,3,0,0,1,288.5544,287.1135,1.8913,-1.4409,40,
116,1,2,3,70,1,318.7479,195.9544,47.2188,1,2,3,1,1,0,0,318.7479,114.5248,1.421,155.7769,-20,
116,1,2,1,71,1,105.3115,18.9173,255.8393,3,1,2,2,0,0,1,18.9173,130.2825,2.2416,111.3652,-20,
116,1,2,2,72,1,348.786,45.937,167.5481,3,1,2,3,1,0,0,167.5481,187.1722,1.2009,19.624,20,
116,1,2,1,73,1,346.6344,168.0641,229.9141,2,1,3,3,0,0,1,229.9141,236.8021,1.311,6.8879,30,
116,1,2,1,74,1,77.8813,138.4013,47.9121,2,3,1,3,0,1,0,47.9121,218.7975,2.5017,170.8853,-20,
116,1,2,3,75,1,197.4585,169.2502,108.1284,3,2,1,3,1,0,0,108.1284,77.9113,1.7913,-30.2171,0,
116,1,2,2,76,1,347.7058,16.2435,226.9577,2,1,3,3,0,0,1,226.9577,298.9565,4.0127,71.9988,-20,
116,1,2,1,77,1,167.5702,17.0932,318.8765,2,3,1,3,0,1,0,318.8765,55.0077,2.2116,96.1311,-20,
116,1,2,3,78,1,348.2808,318.7633,195.3381,1,2,3,1,1,0,0,348.2808,178.6242,1.5311,-169.6566,-20,
116,1,2,1,79,1,319.8063,347.0272,78.4264,1,3,2,1,1,0,0,319.8063,175.1701,1.2509,-144.6362,-20,
116,1,2,3,80,1,319.1876,228.98,289.6843,1,3,2,3,0,1,0,289.6843,NaN,100000,999,0,
116,1,2,2,81,1,316.4111,227.1099,108.2666,2,1,3,1,0,1,0,316.4111,NaN,100000,999,0,
116,1,2,1,82,1,286.7683,136.1589,227.8036,2,3,1,2,1,0,0,136.1589,131.9918,1.6412,-4.1671,30,
116,1,2,1,83,1,107.7662,229.9162,137.6718,1,2,3,3,0,0,1,137.6718,299.0734,1.1808,161.4016,-20,
116,1,2,3,84,1,139.5178,316.6688,47.4544,2,3,1,1,0,0,1,139.5178,NaN,100000,999,0,
116,1,2,3,85,1,349.4826,225.8764,198.6047,3,2,1,3,1,0,0,198.6047,198.5182,2.2315,-0.086473,40,
116,1,2,1,86,1,15.0143,195.3998,47.8385,2,3,1,1,0,0,1,15.0143,180,2.312,164.9857,-20,
116,1,2,2,87,1,225.0262,77.2673,167.7646,1,2,3,1,1,0,0,225.0262,194.8629,1.5411,-30.1633,0,
116,1,2,2,88,1,49.2405,229.6404,319.3623,1,2,3,1,1,0,0,49.2405,66.2001,1.5011,16.9596,20,
116,1,2,1,89,1,75.6294,256.1475,169.222,3,1,2,1,0,1,0,75.6294,130.9383,3.3025,55.309,-10,
116,1,2,1,90,1,167.6591,315.6593,48.2207,1,2,3,1,1,0,0,167.6591,173.6671,1.6013,6.008,30,
116,1,2,1,91,1,288.8329,105.8868,256.2026,2,1,3,2,1,0,0,105.8868,113.0598,2.0013,7.173,30,
116,1,2,3,92,1,226.5044,345.2595,257.7322,2,1,3,3,0,0,1,257.7322,NaN,100000,999,0,
116,1,2,3,93,1,135.044,106.0834,167.216,3,2,1,1,0,0,1,135.044,NaN,100000,999,0,
116,1,2,2,94,1,108.961,346.5021,75.2517,3,1,2,2,0,0,1,346.5021,342.311,1.7312,-4.1912,30,
116,1,2,3,95,1,225.6298,346.5,76.8834,1,2,3,1,1,0,0,225.6298,241.3864,1.2708,15.7566,20,
116,1,2,2,96,1,256.714,347.7036,168.0254,1,2,3,2,0,1,0,347.7036,NaN,100000,999,0,
116,1,2,3,97,1,255.2401,318.818,136.7525,3,2,1,2,0,1,0,318.818,NaN,100000,999,0,
116,1,2,1,98,1,49.63,287.707,197.6405,1,3,2,1,1,0,0,49.63,75.821,1.5211,26.191,10,
116,1,2,1,99,1,255.396,319.3705,108.0243,3,1,2,3,1,0,0,108.0243,195.7544,1.5612,87.7301,-20,
116,1,2,2,100,1,137.0375,168.5175,316.1235,2,3,1,2,1,0,0,168.5175,154.2888,1.2709,-14.2287,20,
116,1,2,2,101,1,48.4571,318.1009,197.0236,1,2,3,2,0,1,0,318.1009,NaN,100000,999,0,
116,1,2,1,102,1,318.218,49.5075,346.9263,3,1,2,3,1,0,0,346.9263,349.518,1.9014,2.5916,40,
116,1,2,2,103,1,346.4503,75.9859,105.7869,2,3,1,1,0,0,1,346.4503,153.6677,1.6412,167.2174,-20,
116,1,2,2,104,1,317.4916,199.6869,255.0848,2,1,3,2,1,0,0,199.6869,169.4543,1.2713,-30.2326,0,
116,1,2,3,105,1,256.8153,319.4051,229.0062,1,2,3,1,1,0,0,256.8153,251.4803,2.1915,-5.335,30,
116,1,2,2,106,1,15.9597,109.4491,348.6625,3,2,1,1,0,0,1,15.9597,158.0152,1.8813,142.0555,-20,
116,1,2,3,107,1,226.3679,315.7247,46.5237,1,2,3,1,1,0,0,226.3679,237.5571,1.2109,11.1892,30,
116,1,2,3,108,1,225.2676,195.4307,16.7904,1,3,2,1,1,0,0,225.2676,218.5143,1.2208,-6.7533,30,
116,1,3,3,109,1,49.7955,78.1534,106.3931,3,2,1,3,1,0,0,106.3931,81.8642,1.8713,-24.529,10,
116,1,3,1,110,1,315.2757,345.3199,15.3569,3,1,2,3,1,0,0,15.3569,6.8879,1.6812,-8.469,30,
116,1,3,1,111,1,347.5286,289.7508,47.8878,1,3,2,3,0,1,0,47.8878,11.833,1.8414,-36.0548,0,
116,1,3,2,112,1,255.6352,225.3666,79.4611,3,1,2,1,0,1,0,255.6352,NaN,100000,999,0,
116,1,3,3,113,1,18.7292,135.3099,75.9518,2,3,1,1,0,0,1,18.7292,NaN,100000,999,0,
116,1,3,3,114,1,48.0947,166.5739,259.008,3,2,1,3,1,0,0,259.008,217.862,2.0116,-41.146,-5,
116,1,3,3,115,1,199.0272,138.7553,108.9922,1,3,2,2,0,0,1,138.7553,NaN,100000,999,0,
116,1,3,2,116,1,349.9449,258.1077,109.8719,1,3,2,1,1,0,0,349.9449,353.0693,2.3019,3.1244,30,
116,1,3,2,117,1,48.4376,138.3,108.8737,3,2,1,3,1,0,0,108.8737,74.5464,2.1215,-34.3273,0,
116,1,3,3,118,1,75.4397,136.6579,49.2398,2,3,1,2,1,0,0,136.6579,132.259,1.341,-4.3989,30,
116,1,3,1,119,1,19.6884,45.5874,78.9711,3,1,2,3,1,0,0,78.9711,60.8081,1.7112,-18.163,20,
116,1,3,2,120,1,46.3157,197.4787,19.9571,3,1,2,3,1,0,0,19.9571,29.0756,1.7816,9.1185,30,
116,1,3,2,121,1,75.0673,19.318,45.9407,1,2,3,2,0,1,0,19.318,NaN,100000,999,0,
116,1,3,2,122,1,347.8737,288.2109,46.2452,2,1,3,1,0,1,0,347.8737,NaN,100000,999,0,
116,1,3,2,123,1,348.3898,257.7643,289.0295,2,1,3,2,1,0,0,257.7643,274.2435,2.6018,16.4791,20,
116,1,3,2,124,1,229.9635,76.344,17.7555,1,2,3,2,0,1,0,76.344,NaN,100000,999,0,
116,1,3,1,125,1,18.6329,165.1459,287.7635,2,1,3,3,0,0,1,287.7635,272.6117,1.451,-15.1518,20,
116,1,3,2,126,1,347.4255,165.6447,78.3637,2,3,1,1,0,0,1,347.4255,170.179,1.3209,-177.2464,-20,
116,1,3,2,127,1,138.907,49.6167,226.9702,1,3,2,1,1,0,0,138.907,171.6336,0.99072,32.7266,0,
116,1,3,1,128,1,345.0138,319.9178,139.6024,3,2,1,3,1,0,0,139.6024,133.1222,3.2423,-6.4802,30,
116,1,3,1,129,1,255.3513,165.6225,139.8421,1,2,3,2,0,1,0,165.6225,60.6977,2.5717,-104.9248,-20,
116,1,3,3,130,1,286.6106,106.2219,315.1116,2,1,3,2,1,0,0,106.2219,137.6014,1.2408,31.3795,0,
116,1,3,1,131,1,348.391,16.4916,255.5267,1,3,2,1,1,0,0,348.391,168.14,1.301,179.749,-20,
116,1,3,1,132,1,318.3202,288.23,256.7194,3,2,1,3,1,0,0,256.7194,244.1197,1.9113,-12.5997,20,
116,1,3,2,133,1,349.2959,137.969,79.3069,1,2,3,1,1,0,0,349.2959,166.0467,1.2909,176.7508,-20,
116,1,3,2,134,1,346.7386,45.3638,317.7222,2,1,3,2,1,0,0,45.3638,54.6511,1.3209,9.2873,30,
116,1,3,2,135,1,76.7555,287.6139,106.6759,1,3,2,2,0,0,1,287.6139,59.4401,1.9614,131.8263,-20,
116,1,3,2,136,1,18.6894,198.1957,105.1766,2,1,3,2,1,0,0,198.1957,238.3217,1.8213,40.126,-5,
116,1,3,3,137,1,348.9436,106.4615,79.1972,1,2,3,2,0,1,0,106.4615,NaN,100000,999,0,
116,1,3,2,138,1,169.0516,75.5131,46.0638,1,3,2,2,0,0,1,75.5131,87.8112,1.7812,12.2981,20,
116,1,3,1,139,1,165.5465,289.3331,229.1076,1,2,3,2,0,1,0,289.3331,58.5158,1.6412,129.1827,-20,
116,1,3,2,140,1,19.4371,229.7639,106.9583,2,1,3,1,0,1,0,19.4371,NaN,100000,999,0,
116,1,3,1,141,1,139.8435,228.7624,49.7464,1,3,2,1,1,0,0,139.8435,163.2867,1.2308,23.4432,10,
116,1,3,1,142,1,317.8719,77.8722,167.8858,3,1,2,3,1,0,0,167.8858,172.0159,2.6118,4.1302,30,
116,1,3,3,143,1,78.3346,47.7169,225.4464,1,3,2,3,0,1,0,225.4464,NaN,100000,999,0,
116,1,3,3,144,1,318.5899,17.0527,258.0229,2,1,3,1,0,1,0,318.5899,NaN,100000,999,0,
116,1,3,2,145,1,105.2206,227.9506,286.239,1,3,2,1,1,0,0,105.2206,107.265,1.8713,2.0444,40,
116,1,3,2,146,1,107.2414,349.113,77.3627,2,1,3,2,1,0,0,349.113,343.4856,2.5117,-5.6274,30,
116,1,3,2,147,1,228.3729,138.6265,286.1113,1,2,3,1,1,0,0,228.3729,240.6746,1.8913,12.3017,20,
116,1,3,2,148,1,287.3987,228.4156,138.5902,2,1,3,2,1,0,0,228.4156,147.4933,3.0222,-80.9223,-20,
116,1,3,3,149,1,167.5938,47.4742,256.233,1,2,3,1,1,0,0,167.5938,169.974,1.281,2.3801,40,
116,1,3,1,150,1,197.5907,16.2803,45.0807,1,3,2,1,1,0,0,197.5907,171.7698,1.3309,-25.821,10,
116,1,3,1,151,1,167.5197,288.6733,318.2401,3,1,2,1,0,1,0,167.5197,169.3274,1.2709,1.8077,40,
116,1,3,3,152,1,18.0397,287.3873,78.0579,1,2,3,1,1,0,0,18.0397,173.8183,0.88065,155.7786,-20,
116,1,3,2,153,1,225.953,287.1096,316.0384,1,2,3,1,1,0,0,225.953,213.2975,1.4711,-12.6555,20,
116,1,3,3,154,1,139.3711,167.7485,16.6901,3,1,2,3,1,0,0,16.6901,14.2855,1.8713,-2.4045,40,
116,1,3,2,155,1,229.1813,169.2905,258.8636,3,1,2,3,1,0,0,258.8636,18.3797,1.2609,119.5161,-20,
116,1,3,2,156,1,255.7824,286.3618,315.9136,3,2,1,3,1,0,0,315.9136,268.1069,1.1408,-47.8067,-5,
116,1,3,2,157,1,258.8982,76.8274,19.8158,1,3,2,1,1,0,0,258.8982,255.8489,2.0414,-3.0493,30,
116,1,3,1,158,1,197.1979,288.2877,167.3028,2,1,3,1,0,1,0,197.1979,181.4981,1.8815,-15.6998,20,
116,1,3,3,159,1,107.3161,228.5891,17.1422,1,2,3,2,0,1,0,228.5891,NaN,100000,999,0,
116,1,3,1,160,1,228.5325,167.2128,319.108,1,2,3,3,0,0,1,319.108,10.4732,2.0815,51.3652,-10,
116,1,3,2,161,1,109.3358,345.4265,195.3416,1,3,2,2,0,0,1,345.4265,337.5049,2.1817,-7.9216,30,
116,1,3,3,162,1,168.8189,346.942,105.7392,3,1,2,1,0,1,0,168.8189,NaN,100000,999,0,
116,1,4,1,163,1,106.0748,195.7456,137.8023,3,2,1,3,1,0,0,137.8023,158.5896,1.5011,20.7873,20,
116,1,4,3,164,1,286.2338,165.9324,17.6315,3,1,2,3,1,0,0,17.6315,16.7637,1.2909,-0.86777,40,
116,1,4,1,165,1,165.9856,316.2696,257.2483,2,3,1,2,1,0,0,316.2696,333.1263,1.4711,16.8566,20,
116,1,4,3,166,1,287.5351,228.0752,317.0104,2,1,3,3,0,0,1,317.0104,NaN,100000,999,0,
116,1,4,1,167,1,196.3806,227.6699,105.1129,1,3,2,1,1,0,0,196.3806,187.5868,1.2511,-8.7938,30,
116,1,4,2,168,1,138.994,227.7143,49.5892,1,2,3,1,1,0,0,138.994,162.2321,1.3208,23.2381,10,
116,1,4,3,169,1,195.6989,138.3447,17.3334,3,2,1,3,1,0,0,17.3334,20.0909,2.0514,2.7575,40,
116,1,4,2,170,1,289.1779,136.2211,259.8061,1,2,3,1,1,0,0,289.1779,291.4594,1.461,2.2815,40,
116,1,4,3,171,1,195.3615,289.0729,169.4216,2,3,1,2,1,0,0,289.0729,287.1013,1.501,-1.9716,40,
