Subject,Session,Block,Condition,Trial,whetherCued,midStim,leftStim,rightStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
104,1,1,1,1,1,347.6621,78.5825,225.8965,3,1,2,3,1,0,0,225.8965,225.2927,2.952,-0.60383,40,
104,1,1,2,2,1,169.6783,319.0936,48.6413,3,1,2,1,0,1,0,169.6783,NaN,100000,999,0,
104,1,1,2,3,1,108.812,17.8803,78.7383,1,3,2,1,1,0,0,108.812,123.5665,2.9719,14.7544,20,
104,1,1,1,4,1,347.6614,136.397,49.7312,3,1,2,1,0,1,0,347.6614,330.0215,5.2933,-17.6399,20,
104,1,1,2,5,1,78.6346,196.8692,47.9079,1,3,2,1,1,0,0,78.6346,77.8075,3.3616,-0.82711,40,
104,1,1,2,6,1,45.7597,16.9855,196.8736,3,1,2,3,1,0,0,196.8736,150.4241,4.4532,-46.4495,-5,
104,1,1,1,7,1,138.2116,316.1063,79.1853,2,1,3,1,0,1,0,138.2116,124.8388,3.3724,-13.3728,20,
104,1,1,2,8,1,319.2929,289.5553,168.4982,1,3,2,1,1,0,0,319.2929,137.4527,4.0024,178.1598,-20,
104,1,1,1,9,1,287.6468,199.1499,49.2938,2,3,1,2,1,0,0,199.1499,237.3356,2.5217,38.1857,0,
104,1,1,1,10,1,169.2518,139.5582,198.1964,1,2,3,1,1,0,0,169.2518,163.8417,2.1915,-5.4101,30,
104,1,1,2,11,1,169.1329,48.3844,286.038,1,3,2,1,1,0,0,169.1329,172.1567,1.8612,3.0238,30,
104,1,1,1,12,1,287.2569,316.9132,48.9482,1,2,3,1,1,0,0,287.2569,326.4136,2.9821,39.1567,0,
104,1,1,1,13,1,228.7938,349.9761,315.9329,1,2,3,2,0,1,0,349.9761,340.2473,3.6724,-9.7287,30,
104,1,1,1,14,1,285.9688,47.1618,258.7458,1,3,2,1,1,0,0,285.9688,199.1691,3.1921,-86.7997,-20,
104,1,1,2,15,1,19.6749,137.3974,346.159,1,3,2,1,1,0,0,19.6749,64.2457,2.2615,44.5708,-5,
104,1,1,1,16,1,287.6548,259.506,317.7028,3,1,2,3,1,0,0,317.7028,317.6012,1.8312,-0.10155,40,
104,1,1,1,17,1,105.9911,165.9754,316.6342,3,2,1,3,1,0,0,316.6342,312.516,2.2515,-4.1182,30,
104,1,1,1,18,1,109.0699,259.4922,77.1462,2,3,1,2,1,0,0,259.4922,309.2889,2.7418,49.7967,-5,
104,1,1,2,19,1,315.4649,347.3174,285.0467,3,1,2,2,0,0,1,347.3174,311.735,2.1615,-35.5825,0,
104,1,1,2,20,1,77.1828,225.2461,105.2482,3,2,1,3,1,0,0,105.2482,93.9826,2.4216,-11.2656,30,
