Subject,Session,Block,Condition,Trial,whetherCued,midStim,leftStim,rightStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
124,1,1,1,1,1,347.6621,78.5825,225.8965,3,1,2,3,1,0,0,225.8965,212.834,1.371,-13.0625,20,
124,1,1,2,2,1,169.6783,319.0936,48.6413,3,1,2,1,0,1,0,169.6783,NaN,100000,999,0,
124,1,1,2,3,1,108.812,17.8803,78.7383,1,3,2,1,1,0,0,108.812,119.3177,1.4209,10.5057,30,
124,1,1,1,4,1,347.6614,136.397,49.7312,3,1,2,1,0,1,0,347.6614,133.1443,3.0919,145.4829,-20,
124,1,1,2,5,1,78.6346,196.8692,47.9079,1,3,2,1,1,0,0,78.6346,62.5697,1.17,-16.0649,20,
124,1,1,2,6,1,45.7597,16.9855,196.8736,3,1,2,3,1,0,0,196.8736,203.3816,1.9916,6.508,30,
124,1,1,1,7,1,138.2116,316.1063,79.1853,2,1,3,1,0,1,0,138.2116,154.5832,4.033,16.3716,20,
124,1,1,2,8,1,319.2929,289.5553,168.4982,1,3,2,1,1,0,0,319.2929,314.5872,2.1613,-4.7057,30,
124,1,1,1,9,1,287.6468,199.1499,49.2938,2,3,1,2,1,0,0,199.1499,222.2059,2.1615,23.056,10,
124,1,1,1,10,1,169.2518,139.5582,198.1964,1,2,3,1,1,0,0,169.2518,166.1827,0.96073,-3.0691,30,
124,1,1,2,11,1,169.1329,48.3844,286.038,1,3,2,1,1,0,0,169.1329,176.2316,1.461,7.0987,30,
124,1,1,1,12,1,287.2569,316.9132,48.9482,1,2,3,1,1,0,0,287.2569,328.3309,2.2416,41.074,-5,
124,1,1,1,13,1,228.7938,349.9761,315.9329,1,2,3,2,0,1,0,349.9761,56.0993,4.1928,66.1232,-20,
124,1,1,1,14,1,285.9688,47.1618,258.7458,1,3,2,1,1,0,0,285.9688,292.9465,1.7313,6.9777,30,
124,1,1,2,15,1,19.6749,137.3974,346.159,1,3,2,1,1,0,0,19.6749,11.1312,3.5828,-8.5437,30,
124,1,1,1,16,1,287.6548,259.506,317.7028,3,1,2,3,1,0,0,317.7028,295.8865,1.8112,-21.8163,10,
124,1,1,1,17,1,105.9911,165.9754,316.6342,3,2,1,3,1,0,0,316.6342,43.1317,2.8319,86.4975,-20,
124,1,1,1,18,1,109.0699,259.4922,77.1462,2,3,1,2,1,0,0,259.4922,283.3988,2.1916,23.9066,10,
124,1,1,2,19,1,315.4649,347.3174,285.0467,3,1,2,2,0,0,1,347.3174,289.8567,3.4224,-57.4607,-10,
124,1,1,2,20,1,77.1828,225.2461,105.2482,3,2,1,3,1,0,0,105.2482,107.9431,1.431,2.695,40,
124,1,1,1,21,1,17.3062,228.1966,259.5867,3,2,1,2,0,1,0,228.1966,274.2016,4.8435,46.005,-5,
124,1,1,2,22,1,19.9049,195.6352,286.1612,3,2,1,3,1,0,0,286.1612,281.681,1.4912,-4.4802,30,
124,1,1,1,23,1,19.2845,75.217,318.4581,2,3,1,2,1,0,0,75.217,75.4034,1.1908,0.1864,40,
