Subject,Session,Block,Trial,Stim,stimLoc,Target,Estimate,RT,Error,Points
104,1,1,1,315.845,3,315.845,325.7587,1.7213,9.9137,30,
104,1,1,2,288.9011,3,288.9011,276.7639,1.6609,-12.1372,20,
104,1,1,3,16.893,2,16.893,27.4946,2.5817,10.6016,30,
104,1,1,4,259.2215,1,259.2215,256.6109,1.3312,-2.6106,40,
104,1,1,5,75.5556,1,75.5556,65.2675,2.041,-10.2881,30,
104,1,1,6,225.4276,1,225.4276,219.4137,2.1616,-6.0139,30,
104,1,1,7,76.158,2,76.158,58.8284,1.1208,-17.3296,20,
104,1,1,8,196.6768,1,196.6768,210.0951,1.401,13.4183,20,
104,1,1,9,105.989,2,105.989,130.9443,1.6711,24.9552,10,
104,1,1,10,19.4326,2,19.4326,28.3246,1.2609,8.892,30,
104,1,1,11,15.4837,1,15.4837,26.3629,1.6512,10.8792,30,
104,1,1,12,105.4173,1,105.4173,110.8751,1.491,5.4578,30,
104,1,1,13,167.1583,2,167.1583,147.9413,1.4209,-19.2169,20,
104,1,1,14,16.3456,3,16.3456,23.6425,1.6912,7.2969,30,
104,1,1,15,345.6401,1,345.6401,326.8603,2.4918,-18.7797,20,
104,1,1,16,78.2238,1,78.2238,61.6555,1.1709,-16.5683,20,
104,1,1,17,136.3264,1,136.3264,123.7891,1.1608,-12.5373,20,
104,1,1,18,347.1263,3,347.1263,348.9942,2.0517,1.8679,40,
104,1,1,19,316.598,3,316.598,305.8999,1.0608,-10.6981,30,
104,1,1,20,255.4541,1,255.4541,238.5804,2.2615,-16.8738,20,
104,1,1,21,48.3806,2,48.3806,51.2716,1.3112,2.891,40,
104,1,1,22,348.0109,1,348.0109,332.4668,1.7312,-15.544,20,
104,1,1,23,78.6088,2,78.6088,67.7332,0.91061,-10.8756,30,
104,1,1,24,45.4556,3,45.4556,52.8249,2.0314,7.3693,30,
104,1,1,25,285.597,3,285.597,287.773,1.5713,2.176,40,
104,1,1,26,317.9112,1,317.9112,311.3804,1.601,-6.5309,30,
104,1,1,27,138.6052,2,138.6052,145.1503,1.381,6.5451,30,
104,1,1,28,169.6643,2,169.6643,153.9503,1.9816,-15.714,20,
104,1,1,29,137.6003,3,137.6003,114.6401,2.8719,-22.9602,10,
104,1,1,30,138.4171,3,138.4171,125.3153,1.6712,-13.1018,20,
104,1,2,31,76.984,3,76.984,82.1309,1.6111,5.147,30,
104,1,2,32,349.3099,1,349.3099,329.3079,1.5711,-20.002,20,
104,1,2,33,135.4498,2,135.4498,134.5047,1.0611,-0.94502,40,
104,1,2,34,227.914,3,227.914,296.6565,3.062,68.7425,-20,
104,1,2,35,109.5043,2,109.5043,113.4352,1.2408,3.931,30,
104,1,2,36,198.8451,3,198.8451,203.7837,1.3809,4.9386,30,
104,1,2,37,108.0736,2,108.0736,106.7808,2.1515,-1.2928,40,
104,1,2,38,258.4758,3,258.4758,257.9719,1.1809,-0.50391,40,
104,1,2,39,106.0299,3,106.0299,110.5232,1.5411,4.4933,30,
104,1,2,40,229.3022,2,229.3022,241.2924,1.381,11.9902,30,
104,1,2,41,256.6647,3,256.6647,247.7806,0.90063,-8.8841,30,
104,1,2,42,79.4924,3,79.4924,67.8279,1.9914,-11.6645,30,
104,1,2,43,316.7982,2,316.7982,313.8841,1.6211,-2.914,40,
104,1,2,44,17.8093,1,17.8093,37.1859,1.321,19.3766,20,
104,1,2,45,315.9833,3,315.9833,316.4575,1.9213,0.47424,40,
104,1,2,46,288.1553,2,288.1553,301.8503,1.411,13.6949,20,
104,1,2,47,318.3396,2,318.3396,341.6738,2.3316,23.3342,10,
104,1,2,48,288.0393,3,288.0393,288.2239,1.8712,0.1846,40,
104,1,2,49,259.715,3,259.715,250.1138,2.4116,-9.6012,30,
104,1,2,50,108.6748,1,108.6748,115.3387,1.7111,6.6639,30,
104,1,2,51,76.0284,2,76.0284,71.2595,1.541,-4.7689,30,
104,1,2,52,347.0266,1,347.0266,336.7218,1.3712,-10.3048,30,
104,1,2,53,19.6688,2,19.6688,13.5025,1.4809,-6.1663,30,
104,1,2,54,225.297,1,225.297,222.2782,1.2009,-3.0188,30,
104,1,2,55,198.1588,1,198.1588,208.3526,1.0607,10.1938,30,
104,1,2,56,77.7787,1,77.7787,71.6522,1.3109,-6.1265,30,
104,1,2,57,76.984,2,76.984,66.6079,1.1912,-10.3761,30,
104,1,2,58,18.4277,3,18.4277,41.0929,1.6211,22.6652,10,
104,1,2,59,17.1468,2,17.1468,24.2265,1.2309,7.0797,30,
104,1,2,60,48.7184,3,48.7184,55.8561,1.4309,7.1376,30,
104,1,3,61,135.768,1,135.768,130.5718,1.0808,-5.1962,30,
104,1,3,62,105.9037,2,105.9037,97.2509,0.98085,-8.6528,30,
104,1,3,63,46.1433,1,46.1433,55.9535,1.461,9.8102,30,
104,1,3,64,17.5282,2,17.5282,33.3458,1.0307,15.8176,20,
104,1,3,65,105.7109,2,105.7109,101.8076,0.7405,-3.9034,30,
104,1,3,66,16.1189,2,16.1189,16.4615,1.6311,0.34268,40,
104,1,3,67,319.0028,3,319.0028,312.3509,1.0307,-6.6519,30,
104,1,3,68,285.15,2,285.15,283.256,2.4316,-1.894,40,
104,1,3,69,198.1297,3,198.1297,215.8115,2.0414,17.6818,20,
104,1,3,70,109.9415,2,109.9415,122.5848,1.5411,12.6433,20,
104,1,3,71,107.9179,2,107.9179,108.685,2.0213,0.76719,40,
104,1,3,72,46.5446,2,46.5446,38.3639,2.0114,-8.1806,30,
104,1,3,73,106.3453,1,106.3453,107.7192,1.361,1.3739,40,
104,1,3,74,315.9662,2,315.9662,304.7007,1.8613,-11.2655,30,
104,1,3,75,75.5077,3,75.5077,52.6962,2.0014,-22.8115,10,
104,1,3,76,48.5679,3,48.5679,38.419,2.6217,-10.1489,30,
104,1,3,77,109.8956,2,109.8956,60.9322,2.2515,-48.9634,-5,
104,1,3,78,289.7709,3,289.7709,298.974,1.7112,9.2031,30,
104,1,3,79,16.2045,3,16.2045,30.0362,1.4711,13.8317,20,
104,1,3,80,139.3852,2,139.3852,134.7504,1.3714,-4.6349,30,
104,1,3,81,105.0963,1,105.0963,110.4603,1.0908,5.364,30,
104,1,3,82,19.4208,3,19.4208,23.1474,1.0707,3.7266,30,
104,1,3,83,105.231,1,105.231,105.2179,1.2708,-0.013095,40,
104,1,3,84,169.1948,3,169.1948,163.3544,1.4409,-5.8404,30,
104,1,3,85,258.9015,1,258.9015,247.4076,1.6911,-11.4939,30,
104,1,3,86,79.7187,3,79.7187,75.6301,1.481,-4.0885,30,
