Subject,Session,Block,Trial,Stim,stimLoc,Target,Estimate,RT,Error,Points
108,1,1,1,348.4074,1,348.4074,354.0994,2.0611,5.692,30,
108,1,1,2,169.2918,2,169.2918,163.0026,1.2406,-6.2891,30,
108,1,1,3,257.3371,2,257.3371,250.2722,0.9707,-7.0648,30,
108,1,1,4,347.6658,3,347.6658,356.4946,1.3709,8.8288,30,
108,1,1,5,138.9798,1,138.9798,143.6051,1.4409,4.6253,30,
108,1,1,6,75.9864,3,75.9864,45.8501,1.2309,-30.1363,0,
108,1,1,7,196.4136,3,196.4136,191.5692,1.2308,-4.8444,30,
108,1,1,8,47.5237,1,47.5237,48.6137,1.5912,1.09,40,
108,1,1,9,319.0072,1,319.0072,306.5053,1.8813,-12.5019,20,
108,1,1,10,45.0806,2,45.0806,34.6272,1.3808,-10.4534,30,
108,1,1,11,229.1411,2,229.1411,227.3976,0.98062,-1.7435,40,
108,1,1,12,106.6302,2,106.6302,139.3541,1.0207,32.7239,0,
108,1,1,13,318.5002,1,318.5002,320.6899,1.011,2.1897,40,
108,1,1,14,16.27,2,16.27,358.924,1.7722,-17.3461,20,
108,1,1,15,105.3522,2,105.3522,108.5624,1.5915,3.2101,30,
108,1,1,16,255.2841,1,255.2841,232.837,2.0514,-22.4471,10,
108,1,1,17,258.885,1,258.885,246.2357,1.361,-12.6493,20,
108,1,1,18,199.494,2,199.494,187.9533,1.2509,-11.5407,30,
108,1,1,19,76.6904,3,76.6904,48.4968,1.5611,-28.1936,10,
108,1,1,20,346.3991,3,346.3991,356.6168,2.4516,10.2177,30,
108,1,1,21,345.4278,3,345.4278,354.3713,2.4917,8.9436,30,
108,1,1,22,17.4112,3,17.4112,12.1937,2.0613,-5.2174,30,
108,1,1,23,319.7899,1,319.7899,334.087,1.1808,14.2971,20,
108,1,1,24,138.3384,3,138.3384,129.5834,1.171,-8.755,30,
108,1,1,25,285.2493,3,285.2493,296.442,1.1207,11.1927,30,
108,1,1,26,228.7424,1,228.7424,214.272,1.491,-14.4704,20,
108,1,1,27,255.601,1,255.601,237.0562,1.0507,-18.5448,20,
108,1,1,28,106.3942,3,106.3942,98.0821,0.83039,-8.3121,30,
108,1,1,29,108.3316,2,108.3316,115.0074,1.0007,6.6757,30,
108,1,1,30,78.0386,2,78.0386,62.2235,1.8013,-15.8151,20,
108,1,2,31,347.3616,2,347.3616,348.715,1.8313,1.3534,40,
108,1,2,32,19.8439,2,19.8439,5.8957,1.7412,-13.9482,20,
108,1,2,33,199.4482,2,199.4482,187.5156,0.95068,-11.9326,30,
108,1,2,34,17.7221,2,17.7221,24.7317,1.1008,7.0096,30,
108,1,2,35,165.6614,2,165.6614,163.3209,1.3509,-2.3405,40,
108,1,2,36,135.3468,2,135.3468,142.368,1.6111,7.0212,30,
108,1,2,37,139.4985,1,139.4985,134.5326,1.621,-4.9659,30,
108,1,2,38,77.0491,2,77.0491,54.3907,1.0908,-22.6583,10,
108,1,2,39,257.2826,1,257.2826,241.2538,1.7015,-16.0289,20,
108,1,2,40,288.3558,1,288.3558,302.3309,1.3609,13.9751,20,
108,1,2,41,259.8507,2,259.8507,253.0439,1.3409,-6.8068,30,
108,1,2,42,288.8765,2,288.8765,304.1693,1.3309,15.2928,20,
108,1,2,43,199.9377,3,199.9377,212.2278,2.2415,12.2901,20,
108,1,2,44,169.7542,1,169.7542,162.0728,2.0714,-7.6814,30,
108,1,2,45,197.7598,2,197.7598,183.2397,1.1709,-14.5201,20,
108,1,2,46,105.005,2,105.005,111.9425,1.0807,6.9375,30,
108,1,2,47,139.1714,3,139.1714,136.4689,1.3911,-2.7025,40,
108,1,2,48,76.4172,1,76.4172,65.4668,1.2408,-10.9504,30,
108,1,2,49,106.7519,3,106.7519,91.3474,0.98066,-15.4045,20,
108,1,2,50,77.8463,2,77.8463,70.7132,0.93061,-7.1331,30,
108,1,2,51,198.7,1,198.7,198.1875,1.0207,-0.51251,40,
108,1,2,52,136.8907,1,136.8907,138.4651,0.95064,1.5743,40,
108,1,2,53,107.3056,3,107.3056,91.9431,1.3607,-15.3625,20,
108,1,2,54,349.0059,3,349.0059,342.1944,1.361,-6.8115,30,
108,1,2,55,229.9878,2,229.9878,215.7499,2.5717,-14.2378,20,
108,1,2,56,168.5909,3,168.5909,158.0779,1.5514,-10.513,30,
108,1,2,57,257.3291,2,257.3291,254.9076,0.94071,-2.4215,40,
108,1,2,58,76.4142,2,76.4142,61.0904,0.9006,-15.3238,20,
108,1,2,59,78.402,3,78.402,46.8982,1.2608,-31.5038,0,
108,1,2,60,168.7949,3,168.7949,156.442,1.551,-12.3528,20,
108,1,3,61,257.2641,2,257.2641,249.6461,1.0307,-7.618,30,
108,1,3,62,317.1847,2,317.1847,320.7031,2.3415,3.5184,30,
108,1,3,63,349.3083,3,349.3083,342.7833,1.441,-6.525,30,
108,1,3,64,17.2137,3,17.2137,27.0229,1.6611,9.8092,30,
108,1,3,65,228.6452,1,228.6452,224.9369,1.341,-3.7083,30,
108,1,3,66,255.1951,1,255.1951,230.7614,1.7315,-24.4337,10,
108,1,3,67,106.504,1,106.504,132.0465,0.83058,25.5425,10,
108,1,3,68,139.0496,3,139.0496,134.7368,1.7012,-4.3128,30,
108,1,3,69,197.8757,1,197.8757,207.505,1.1909,9.6293,30,
108,1,3,70,228.6142,1,228.6142,234.6712,0.76052,6.057,30,
108,1,3,71,347.3686,1,347.3686,340.1519,1.551,-7.2166,30,
108,1,3,72,47.5505,2,47.5505,39.4504,1.1408,-8.1001,30,
108,1,3,73,316.6495,1,316.6495,327.2135,1.5712,10.564,30,
108,1,3,74,168.3623,3,168.3623,175.3642,1.3712,7.0019,30,
108,1,3,75,317.5337,3,317.5337,323.3595,1.0807,5.8258,30,
108,1,3,76,226.596,2,226.596,211.3095,1.3008,-15.2865,20,
108,1,3,77,108.6605,1,108.6605,137.0344,1.7112,28.3739,10,
108,1,3,78,139.9343,3,139.9343,151.4747,1.7613,11.5404,30,
108,1,3,79,225.5352,3,225.5352,227.2543,1.7913,1.7191,40,
108,1,3,80,316.6124,3,316.6124,315.459,2.0817,-1.1534,40,
108,1,3,81,75.3814,3,75.3814,44.1917,1.3409,-31.1897,0,
108,1,3,82,48.1729,1,48.1729,33.7729,1.491,-14.4,20,
108,1,3,83,199.3916,2,199.3916,194.9198,1.6411,-4.4718,30,
108,1,3,84,16.7359,3,16.7359,19.8549,1.8913,3.119,30,
108,1,3,85,257.9854,1,257.9854,242.1222,0.85064,-15.8632,20,
108,1,3,86,198.7463,1,198.7463,212.7062,1.2709,13.9599,20,
108,1,3,87,108.3886,3,108.3886,98.8898,1.421,-9.4989,30,
