Subject,Session,Block,Trial,Stim,stimLoc,Target,Estimate,RT,Error,Points
113,1,1,1,348.4074,1,348.4074,354.7349,1.7708,6.3275,30,
113,1,1,2,169.2918,2,169.2918,168.8908,1.3006,-0.40093,40,
113,1,1,3,257.3371,2,257.3371,256.2673,2.3716,-1.0698,40,
113,1,1,4,347.6658,3,347.6658,349.1376,2.1318,1.4718,40,
113,1,1,5,138.9798,1,138.9798,139.125,1.4013,0.1452,40,
113,1,1,6,75.9864,3,75.9864,79.8485,1.8112,3.8621,30,
113,1,1,7,196.4136,3,196.4136,210.5224,3.112,14.1087,20,
113,1,1,8,47.5237,1,47.5237,55.945,1.7912,8.4213,30,
113,1,1,9,319.0072,1,319.0072,317.6655,2.9619,-1.3417,40,
113,1,1,10,45.0806,2,45.0806,41.6384,1.8913,-3.4422,30,
113,1,1,11,229.1411,2,229.1411,236.8792,2.2218,7.7381,30,
113,1,1,12,106.6302,2,106.6302,112.0467,2.1114,5.4165,30,
113,1,1,13,318.5002,1,318.5002,323.8345,3.3722,5.3343,30,
113,1,1,14,16.27,2,16.27,10.8705,3.3522,-5.3995,30,
113,1,1,15,105.3522,2,105.3522,114.7574,1.9212,9.4052,30,
113,1,1,16,255.2841,1,255.2841,248.5715,1.9914,-6.7125,30,
113,1,1,17,258.885,1,258.885,258.2686,5.1833,-0.61635,40,
113,1,1,18,199.494,2,199.494,190.8172,2.6717,-8.6767,30,
113,1,1,19,76.6904,3,76.6904,81.2459,3.5923,4.5554,30,
113,1,1,20,346.3991,3,346.3991,347.6169,2.8419,1.2177,40,
113,1,1,21,345.4278,3,345.4278,349.9548,3.5123,4.527,30,
113,1,1,22,17.4112,3,17.4112,11.4721,3.6824,-5.939,30,
113,1,1,23,319.7899,1,319.7899,315.8254,2.6218,-3.9645,30,
113,1,1,24,138.3384,3,138.3384,146.1546,2.482,7.8162,30,
113,1,1,25,285.2493,3,285.2493,282.4735,1.1909,-2.7758,40,
113,1,1,26,228.7424,1,228.7424,228.7003,2.9319,-0.042123,40,
113,1,1,27,255.601,1,255.601,246.8561,2.8218,-8.7449,30,
113,1,1,28,106.3942,3,106.3942,109.4308,2.2915,3.0366,30,
113,1,1,29,108.3316,2,108.3316,116.7919,1.9413,8.4603,30,
113,1,1,30,78.0386,2,78.0386,68.5326,2.4416,-9.5061,30,
113,1,2,31,347.3616,2,347.3616,343.9119,2.7819,-3.4497,30,
113,1,2,32,19.8439,2,19.8439,24.2547,4.0526,4.4108,30,
113,1,2,33,199.4482,2,199.4482,197.9792,5.5136,-1.469,40,
113,1,2,34,17.7221,2,17.7221,16.3551,3.2321,-1.367,40,
113,1,2,35,165.6614,2,165.6614,164.4399,0.94088,-1.2215,40,
113,1,2,36,135.3468,2,135.3468,125.1848,1.9615,-10.162,30,
113,1,2,37,139.4985,1,139.4985,137.9561,1.0812,-1.5425,40,
113,1,2,38,77.0491,2,77.0491,81.0095,2.862,3.9604,30,
113,1,2,39,257.2826,1,257.2826,258.6949,1.5111,1.4123,40,
113,1,2,40,288.3558,1,288.3558,299.3139,1.9513,10.958,30,
113,1,2,41,259.8507,2,259.8507,258.8377,2.4515,-1.013,40,
113,1,2,42,288.8765,2,288.8765,303.3551,2.4417,14.4786,20,
113,1,2,43,199.9377,3,199.9377,217.554,2.1514,17.6163,20,
113,1,2,44,169.7542,1,169.7542,168.7073,1.361,-1.0469,40,
113,1,2,45,197.7598,2,197.7598,199.9286,2.1718,2.1687,40,
113,1,2,46,105.005,2,105.005,101.9243,2.2515,-3.0807,30,
113,1,2,47,139.1714,3,139.1714,162.9806,2.4616,23.8092,10,
113,1,2,48,76.4172,1,76.4172,76.5003,0.92065,0.083066,40,
113,1,2,49,106.7519,3,106.7519,100.4428,2.4716,-6.3091,30,
113,1,2,50,77.8463,2,77.8463,72.8744,1.8612,-4.9719,30,
113,1,2,51,198.7,1,198.7,199.6047,2.6017,0.90466,40,
113,1,2,52,136.8907,1,136.8907,131.6518,1.1407,-5.239,30,
113,1,2,53,107.3056,3,107.3056,110.9796,2.0217,3.674,30,
113,1,2,54,349.0059,3,349.0059,347.76,1.8012,-1.2459,40,
113,1,2,55,229.9878,2,229.9878,225.5282,1.631,-4.4596,30,
113,1,2,56,168.5909,3,168.5909,190.5491,2.0814,21.9582,10,
113,1,2,57,257.3291,2,257.3291,255.73,1.8512,-1.5991,40,
113,1,2,58,76.4142,2,76.4142,71.9195,0.8606,-4.4947,30,
113,1,2,59,78.402,3,78.402,59.961,4.0427,-18.441,20,
113,1,2,60,168.7949,3,168.7949,172.5632,3.062,3.7683,30,
113,1,3,61,257.2641,2,257.2641,255.5808,1.2909,-1.6833,40,
113,1,3,62,317.1847,2,317.1847,318.2656,2.2615,1.081,40,
113,1,3,63,349.3083,3,349.3083,351.9815,1.8012,2.6733,40,
113,1,3,64,17.2137,3,17.2137,22.3481,3.5023,5.1344,30,
113,1,3,65,228.6452,1,228.6452,213.1363,1.6311,-15.5089,20,
113,1,3,66,255.1951,1,255.1951,264.6345,1.6611,9.4394,30,
113,1,3,67,106.504,1,106.504,117.2477,2.3816,10.7437,30,
113,1,3,68,139.0496,3,139.0496,145.0751,2.1615,6.0255,30,
113,1,3,69,197.8757,1,197.8757,196.5633,2.3115,-1.3124,40,
113,1,3,70,228.6142,1,228.6142,238.1191,0.89063,9.5049,30,
113,1,3,71,347.3686,1,347.3686,348.965,2.3716,1.5965,40,
113,1,3,72,47.5505,2,47.5505,46.0433,1.1208,-1.5072,40,
113,1,3,73,316.6495,1,316.6495,323.7449,2.3415,7.0954,30,
113,1,3,74,168.3623,3,168.3623,168.9321,2.5317,0.56987,40,
113,1,3,75,317.5337,3,317.5337,315.3908,1.4613,-2.1429,40,
113,1,3,76,226.596,2,226.596,221.4215,1.5611,-5.1745,30,
113,1,3,77,108.6605,1,108.6605,117.9718,2.0711,9.3113,30,
113,1,3,78,139.9343,3,139.9343,136.3765,1.481,-3.5578,30,
113,1,3,79,225.5352,3,225.5352,232.1946,1.491,6.6594,30,
113,1,3,80,316.6124,3,316.6124,318.3613,0.9908,1.7489,40,
113,1,3,81,75.3814,3,75.3814,70.3086,1.7612,-5.0728,30,
113,1,3,82,48.1729,1,48.1729,49.0175,1.2308,0.84463,40,
113,1,3,83,199.3916,2,199.3916,196.2628,1.1508,-3.1289,30,
113,1,3,84,16.7359,3,16.7359,12.7535,1.431,-3.9824,30,
113,1,3,85,257.9854,1,257.9854,250.4074,1.3609,-7.578,30,
113,1,3,86,198.7463,1,198.7463,194.7731,1.1409,-3.9732,30,
113,1,3,87,108.3886,3,108.3886,104.177,1.0908,-4.2116,30,
113,1,3,88,105.667,1,105.667,106.6262,0.90066,0.95924,40,
113,1,3,89,168.5429,2,168.5429,166.5202,1.0007,-2.0227,40,
113,1,3,90,288.6787,1,288.6787,302.5684,1.9012,13.8897,20,
113,1,4,91,137.7,3,137.7,143.7219,0.94061,6.022,30,
113,1,4,92,317.4499,3,317.4499,325.4915,1.3212,8.0416,30,
113,1,4,93,106.8876,1,106.8876,113.5795,0.99068,6.6919,30,
113,1,4,94,169.598,3,169.598,175.0291,1.441,5.4311,30,
113,1,4,95,349.0469,2,349.0469,353.7402,0.85064,4.6933,30,
113,1,4,96,199.0531,3,199.0531,211.3919,1.1808,12.3388,20,
113,1,4,97,197.5342,2,197.5342,195.1977,1.451,-2.3365,40,
113,1,4,98,347.5228,1,347.5228,343.4734,4.7231,-4.0494,30,
113,1,4,99,169.905,3,169.905,171.82,1.8012,1.9151,40,
113,1,4,100,48.3558,3,48.3558,37.3117,1.8113,-11.044,30,
113,1,4,101,75.3655,2,75.3655,71.5843,1.5711,-3.7812,30,
113,1,4,102,258.0127,2,258.0127,248.0486,1.8813,-9.9641,30,
113,1,4,103,139.457,1,139.457,143.4478,1.531,3.9909,30,
113,1,4,104,225.2008,3,225.2008,237.3132,0.91063,12.1125,20,
113,1,4,105,349.3786,3,349.3786,345.842,1.451,-3.5366,30,
113,1,4,106,108.5066,2,108.5066,114.3537,0.84083,5.847,30,
113,1,4,107,289.5231,1,289.5231,296.6651,0.65051,7.1421,30,
113,1,4,108,195.6068,1,195.6068,205.9651,0.71052,10.3583,30,
113,1,4,109,256.7315,1,256.7315,248.435,1.371,-8.2965,30,
113,1,4,110,49.3067,3,49.3067,39.867,1.2208,-9.4397,30,
113,1,4,111,288.7589,2,288.7589,307.7606,1.6211,19.0017,20,
113,1,4,112,105.8264,3,105.8264,105.0769,1.321,-0.74948,40,
113,1,4,113,138.2028,2,138.2028,140.5839,1.4411,2.3811,40,
113,1,4,114,166.1109,3,166.1109,153.7345,1.6111,-12.3764,20,
113,1,4,115,46.4575,3,46.4575,51.7553,0.65047,5.2978,30,
113,1,4,116,49.4181,2,49.4181,47.2158,1.031,-2.2023,40,
113,1,4,117,78.515,2,78.515,84.6616,1.0207,6.1466,30,
113,1,4,118,288.0077,3,288.0077,296.5291,1.0007,8.5214,30,
113,1,4,119,105.8051,2,105.8051,111.1883,1.4109,5.3832,30,
113,1,4,120,139.5153,1,139.5153,140.7033,0.78056,1.1879,40,
113,1,5,121,138.8417,1,138.8417,141.5319,1.1207,2.6902,40,
113,1,5,122,288.7565,1,288.7565,296.6586,2.3416,7.9021,30,
113,1,5,123,17.8665,2,17.8665,22.754,0.74049,4.8875,30,
113,1,5,124,78.1699,2,78.1699,75.075,0.61041,-3.0949,30,
113,1,5,125,199.3117,3,199.3117,206.9614,1.3309,7.6497,30,
113,1,5,126,259.9852,3,259.9852,263.9161,1.0307,3.9309,30,
113,1,5,127,15.8474,1,15.8474,10.9433,1.8813,-4.9041,30,
113,1,5,128,289.0431,2,289.0431,290.1889,1.8913,1.1459,40,
113,1,5,129,287.4616,2,287.4616,296.4684,1.1007,9.0068,30,
113,1,5,130,49.7245,3,49.7245,54.067,2.5717,4.3425,30,
113,1,5,131,285.552,3,285.552,298.6197,0.98065,13.0676,20,
113,1,5,132,169.858,3,169.858,172.0599,0.99071,2.202,40,
113,1,5,133,137.7013,1,137.7013,139.0507,0.88058,1.3495,40,
113,1,5,134,46.3408,3,46.3408,48.6521,0.88062,2.3113,40,
113,1,5,135,75.1584,2,75.1584,82.6009,1.0708,7.4425,30,
113,1,5,136,228.6611,1,228.6611,222.2757,1.0308,-6.3854,30,
113,1,5,137,46.4529,2,46.4529,41.159,0.89054,-5.2939,30,
113,1,5,138,135.4454,1,135.4454,137.2348,1.0207,1.7893,40,
113,1,5,139,168.6869,2,168.6869,162.751,1.1408,-5.9359,30,
113,1,5,140,165.9661,1,165.9661,161.0071,0.74059,-4.9589,30,
113,1,5,141,109.9493,1,109.9493,99.3284,1.0907,-10.6209,30,
113,1,5,142,286.8651,1,286.8651,297.1865,1.8012,10.3214,30,
113,1,5,143,165.4859,3,165.4859,174.6696,1.0805,9.1837,30,
113,1,5,144,318.9805,2,318.9805,331.9644,1.1812,12.9838,20,
113,1,5,145,349.4889,1,349.4889,351.4304,3.6024,1.9416,40,
113,1,5,146,76.7007,1,76.7007,80.6922,1.431,3.9915,30,
113,1,5,147,227.2651,3,227.2651,230.4964,0.81053,3.2313,30,
113,1,5,148,19.9398,2,19.9398,1.3822,0.79052,-18.5576,20,
113,1,5,149,15.0012,1,15.0012,16.9536,1.2209,1.9524,40,
113,1,5,150,15.1196,1,15.1196,15.0087,2.3916,-0.11084,40,
