Subject,Session,Block,Condition,Trial,whetherCued,leftStim,rightStim,midStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
101,1,1,1,1,0,136.1214,256.3453,18.3652,0,0,0,2,0,0,0,256.3453,258.1909,2.6664,1.8456,40,
101,1,1,1,2,0,289.4795,225.4954,105.2208,0,0,0,1,0,0,0,289.4795,294.2504,2.8396,4.771,30,
101,1,1,1,3,1,347.5064,287.1586,109.9878,2,1,3,2,1,0,0,287.1586,242.9391,2.4095,-44.2195,0,
101,1,1,1,4,0,348.6529,108.2324,289.1658,0,0,0,1,0,0,0,348.6529,342.6822,2.4229,-5.9707,30,
101,1,1,1,5,1,107.4617,228.4737,289.8637,3,2,1,3,1,0,0,289.8637,299.6816,0.97162,9.8179,30,
101,1,1,1,6,1,138.3022,255.2378,226.7439,2,3,1,1,0,0,1,138.3022,203.3325,2.3958,65.0303,0,
101,1,1,1,7,1,197.5189,257.448,49.3852,3,1,2,3,1,0,0,49.3852,35.4403,1.7016,-13.945,20,
101,1,1,1,8,1,105.0963,165.4194,19.874,1,2,3,1,1,0,0,105.0963,127.9002,1.3054,22.8039,10,
101,1,1,1,9,0,349.6502,286.9951,105.237,0,0,0,1,0,0,0,349.6502,64.6209,2.7914,74.9707,0,
101,1,1,1,10,0,259.389,197.9122,285.3534,0,0,0,1,0,0,0,259.389,278.3401,1.7634,18.9511,20,
101,1,1,1,11,1,317.5194,78.234,226.5387,2,1,3,2,1,0,0,78.234,58.4156,1.0554,-19.8185,20,
101,1,1,1,12,1,226.4331,199.0041,19.4806,2,1,3,2,1,0,0,199.0041,78.7456,2.09,-120.2585,0,
101,1,1,1,13,1,199.1477,319.2454,226.8627,1,2,3,1,1,0,0,199.1477,218.5891,1.5554,19.4414,20,
101,1,1,1,14,1,198.7837,137.0852,229.8589,1,2,3,2,0,1,0,137.0852,67.9462,2.8886,-69.139,0,
101,1,1,1,15,1,317.252,136.0284,79.4983,1,2,3,3,0,0,1,79.4983,303.2367,1.9998,-136.2615,0,
101,1,1,1,16,0,166.9501,227.4895,288.474,0,0,0,1,0,0,0,166.9501,191.5332,1.4236,24.583,10,
101,1,1,1,17,0,255.5852,109.0734,346.6243,0,0,0,3,0,0,0,346.6243,347.907,1.8331,1.2827,40,
101,1,1,1,18,1,19.1594,45.6717,75.3023,2,3,1,2,1,0,0,45.6717,36.9178,1.3113,-8.7539,30,
101,1,1,1,19,1,139.9843,17.7677,197.5773,1,2,3,1,1,0,0,139.9843,134.4557,1.7012,-5.5286,30,
101,1,1,1,20,1,169.6556,105.9539,16.2929,1,2,3,2,0,1,0,105.9539,49.9247,2.34,-56.0292,0,
101,1,1,1,21,0,198.6008,256.7345,227.585,0,0,0,1,0,0,0,198.6008,197.0823,1.7776,-1.5185,40,
101,1,1,1,22,0,47.1514,228.4688,289.7261,0,0,0,2,0,0,0,228.4688,52.4747,1.1943,-175.994,0,
101,1,1,1,23,0,288.3452,197.5011,346.09,0,0,0,1,0,0,0,288.3452,201.269,1.722,-87.0762,0,
101,1,1,1,24,1,229.3193,135.4885,169.5403,3,2,1,1,0,0,1,229.3193,206.3437,1.979,-22.9757,10,
101,1,1,1,25,1,137.5392,347.928,18.8144,1,2,3,1,1,0,0,137.5392,143.277,1.4235,5.7378,30,
101,1,1,1,26,0,17.7694,108.4003,196.8359,0,0,0,2,0,0,0,108.4003,73.559,2.937,-34.8413,0,
101,1,1,1,27,1,135.7013,16.3007,195.4341,3,2,1,3,1,0,0,195.4341,219.6171,1.1734,24.1831,10,
101,1,1,1,28,1,346.1034,285.0065,135.9459,1,2,3,2,0,1,0,285.0065,276.8474,3.7565,-8.1591,30,
101,1,1,1,29,0,105.3418,17.1816,75.8693,0,0,0,1,0,0,0,105.3418,199.1657,1.3402,93.8239,0,
101,1,1,1,30,1,166.1401,16.8543,319.4546,2,3,1,2,1,0,0,16.8543,20.3796,1.528,3.5253,30,
101,1,1,1,31,1,347.6621,78.5825,225.8965,2,3,1,1,0,0,1,347.6621,5.1172,1.7911,17.4551,20,
101,1,1,1,32,1,169.6783,319.0936,48.6413,1,3,2,1,1,0,0,169.6783,181.1,2.2706,11.4217,30,
101,1,1,1,33,1,108.812,17.8803,78.7383,3,1,2,3,1,0,0,78.7383,43.4706,1.2637,-35.2677,0,
101,1,1,1,34,1,347.6614,136.397,49.7312,2,3,1,2,1,0,0,136.397,149.6211,1.3815,13.2241,20,
101,1,1,1,35,0,78.6346,196.8692,47.9079,0,0,0,2,0,0,0,196.8692,61.4488,1.9094,-135.4204,0,
101,1,1,1,36,0,45.7597,16.9855,196.8736,0,0,0,3,0,0,0,196.8736,244.3726,1.8748,47.499,0,
101,1,1,1,37,1,138.2116,316.1063,79.1853,2,1,3,2,1,0,0,316.1063,328.8558,1.3471,12.7494,20,
101,1,1,1,38,0,319.2929,289.5553,168.4982,0,0,0,3,0,0,0,168.4982,208.8451,1.6665,40.3469,0,
101,1,1,1,39,1,287.6468,199.1499,49.2938,3,1,2,2,0,0,1,199.1499,147.0156,4.9439,-52.1343,0,
101,1,1,1,40,1,169.2518,139.5582,198.1964,1,3,2,1,1,0,0,169.2518,160.5226,1.5689,-8.7292,30,
101,1,1,1,41,1,169.1329,48.3844,286.038,3,2,1,3,1,0,0,286.038,304.1545,1.5414,18.1165,20,
101,1,1,1,42,1,287.2569,316.9132,48.9482,2,1,3,2,1,0,0,316.9132,311.6025,1.7568,-5.3107,30,
101,1,1,1,43,0,228.7938,349.9761,315.9329,0,0,0,3,0,0,0,315.9329,321.4178,1.6804,5.485,30,
101,1,1,1,44,1,285.9688,47.1618,258.7458,2,1,3,2,1,0,0,47.1618,59.6279,1.5555,12.466,20,
101,1,1,1,45,0,19.6749,137.3974,346.159,0,0,0,2,0,0,0,137.3974,174.692,1.9095,37.2946,0,
101,1,1,1,46,1,287.6548,259.506,317.7028,2,1,3,2,1,0,0,259.506,256.2339,3.0066,-3.2722,30,
101,1,1,1,47,0,105.9911,165.9754,316.6342,0,0,0,3,0,0,0,316.6342,313.0259,1.3954,-3.6083,30,
101,1,1,1,48,1,109.0699,259.4922,77.1462,3,1,2,1,0,1,0,109.0699,268.1752,2.0692,159.1053,0,
101,1,1,1,49,1,315.4649,347.3174,285.0467,1,2,3,1,1,0,0,315.4649,297.2124,2.7011,-18.2525,20,
101,1,1,1,50,0,77.1828,225.2461,105.2482,0,0,0,1,0,0,0,77.1828,103.6443,1.4096,26.4615,10,
101,1,1,1,51,1,17.3062,228.1966,259.5867,2,3,1,2,1,0,0,228.1966,71.8016,3.8258,-156.395,0,
101,1,1,1,52,1,19.9049,195.6352,286.1612,1,3,2,1,1,0,0,19.9049,35.508,2.3331,15.6031,20,
