Subject,Session,Block,Condition,Trial,whetherCued,leftStim,rightStim,midStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
117,1,1,1,1,0,136.1214,256.3453,18.3652,0,0,0,2,0,0,0,256.3453,249.388,1.9916,-6.9572,30,
117,1,1,1,2,0,289.4795,225.4954,105.2208,0,0,0,1,0,0,0,289.4795,275.2257,2.1668,-14.2538,20,
117,1,1,1,3,1,347.5064,287.1586,109.9878,2,1,3,2,1,0,0,287.1586,239.3704,1.2502,-47.7882,0,
117,1,1,1,4,0,348.6529,108.2324,289.1658,0,0,0,1,0,0,0,348.6529,149.7538,1.5501,161.1009,0,
117,1,1,1,5,1,107.4617,228.4737,289.8637,3,2,1,3,1,0,0,289.8637,300.8591,1.708,10.9954,30,
117,1,1,1,6,1,138.3022,255.2378,226.7439,2,3,1,1,0,0,1,138.3022,159.5432,2.242,21.241,10,
117,1,1,1,7,1,197.5189,257.448,49.3852,3,1,2,3,1,0,0,49.3852,43.3215,1.0835,-6.0637,30,
117,1,1,1,8,1,105.0963,165.4194,19.874,1,2,3,1,1,0,0,105.0963,146.9805,1.2418,41.8842,0,
117,1,1,1,9,0,349.6502,286.9951,105.237,0,0,0,1,0,0,0,349.6502,139.7383,2.2252,150.0881,0,
117,1,1,1,10,0,259.389,197.9122,285.3534,0,0,0,1,0,0,0,259.389,255.5936,2.3918,-3.7954,30,
117,1,1,1,11,1,317.5194,78.234,226.5387,2,1,3,2,1,0,0,78.234,62.022,0.90837,-16.2121,20,
117,1,1,1,12,1,226.4331,199.0041,19.4806,2,1,3,2,1,0,0,199.0041,194.0779,1.2085,-4.9262,30,
117,1,1,1,13,1,199.1477,319.2454,226.8627,1,2,3,1,1,0,0,199.1477,182.8214,1.3,-16.3263,20,
117,1,1,1,14,1,198.7837,137.0852,229.8589,1,2,3,2,0,1,0,137.0852,349.0865,1.7168,-147.9987,0,
117,1,1,1,15,1,317.252,136.0284,79.4983,1,2,3,3,0,0,1,79.4983,128.3044,1.6752,48.8062,0,
117,1,1,1,16,0,166.9501,227.4895,288.474,0,0,0,1,0,0,0,166.9501,16.4398,3.4502,-150.5103,0,
117,1,1,1,17,0,255.5852,109.0734,346.6243,0,0,0,3,0,0,0,346.6243,34.361,2.2251,47.7367,0,
117,1,1,1,18,1,19.1594,45.6717,75.3023,2,3,1,2,1,0,0,45.6717,148.9368,1.3335,103.2651,0,
117,1,1,1,19,1,139.9843,17.7677,197.5773,1,2,3,1,1,0,0,139.9843,136.0863,1.7501,-3.8979,30,
117,1,1,1,20,1,169.6556,105.9539,16.2929,1,2,3,2,0,1,0,105.9539,139.6453,1.9252,33.6914,0,
117,1,1,1,21,0,198.6008,256.7345,227.585,0,0,0,1,0,0,0,198.6008,209.5033,2.1668,10.9024,30,
117,1,1,1,22,0,47.1514,228.4688,289.7261,0,0,0,2,0,0,0,228.4688,89.5503,1.5835,-138.9185,0,
117,1,1,1,23,0,288.3452,197.5011,346.09,0,0,0,1,0,0,0,288.3452,205.3764,1.6919,-82.9688,0,
117,1,1,1,24,1,229.3193,135.4885,169.5403,3,2,1,1,0,0,1,229.3193,212.3093,1.7917,-17.0101,20,
117,1,1,1,25,1,137.5392,347.928,18.8144,1,2,3,1,1,0,0,137.5392,176.0291,2.2752,38.4898,0,
117,1,1,1,26,0,17.7694,108.4003,196.8359,0,0,0,2,0,0,0,108.4003,120.9498,0.96673,12.5495,20,
117,1,1,1,27,1,135.7013,16.3007,195.4341,3,2,1,3,1,0,0,195.4341,181.6436,1.5751,-13.7905,20,
117,1,1,1,28,1,346.1034,285.0065,135.9459,1,2,3,2,0,1,0,285.0065,164.8771,1.7001,-120.1294,0,
117,1,1,1,29,0,105.3418,17.1816,75.8693,0,0,0,1,0,0,0,105.3418,185.4338,1.8752,80.092,0,
117,1,1,1,30,1,166.1401,16.8543,319.4546,2,3,1,2,1,0,0,16.8543,7.5272,2.1836,-9.3272,30,
117,1,1,1,31,1,347.6621,78.5825,225.8965,2,3,1,1,0,0,1,347.6621,179.7956,1.2167,-167.8665,0,
117,1,1,1,32,1,169.6783,319.0936,48.6413,1,3,2,1,1,0,0,169.6783,183.8065,1.2168,14.1282,20,
117,1,1,1,33,1,108.812,17.8803,78.7383,3,1,2,3,1,0,0,78.7383,260.9232,1.8002,-177.8151,0,
117,1,1,1,34,1,347.6614,136.397,49.7312,2,3,1,2,1,0,0,136.397,143.5194,1.0584,7.1224,30,
117,1,1,1,35,0,78.6346,196.8692,47.9079,0,0,0,2,0,0,0,196.8692,241.4448,2.5335,44.5756,0,
117,1,1,1,36,0,45.7597,16.9855,196.8736,0,0,0,3,0,0,0,196.8736,347.4985,1.325,150.6249,0,
117,1,1,1,37,1,138.2116,316.1063,79.1853,2,1,3,2,1,0,0,316.1063,347.4557,2.5668,31.3494,0,
117,1,1,1,38,0,319.2929,289.5553,168.4982,0,0,0,3,0,0,0,168.4982,146.6976,2.4668,-21.8006,10,
117,1,1,1,39,1,287.6468,199.1499,49.2938,3,1,2,2,0,0,1,199.1499,163.0457,2.6835,-36.1042,0,
117,1,1,1,40,1,169.2518,139.5582,198.1964,1,3,2,1,1,0,0,169.2518,6.3733,1.4585,-162.8785,0,
117,1,1,1,41,1,169.1329,48.3844,286.038,3,2,1,3,1,0,0,286.038,289.5432,1.4167,3.5052,30,
117,1,1,1,42,1,287.2569,316.9132,48.9482,2,1,3,2,1,0,0,316.9132,329.2122,1.0751,12.299,20,
117,1,1,1,43,0,228.7938,349.9761,315.9329,0,0,0,3,0,0,0,315.9329,314.3031,1.4001,-1.6298,40,
117,1,1,1,44,1,285.9688,47.1618,258.7458,2,1,3,2,1,0,0,47.1618,48.7862,1.4168,1.6244,40,
117,1,1,1,45,0,19.6749,137.3974,346.159,0,0,0,2,0,0,0,137.3974,50.7351,1.1834,-86.6623,0,
117,1,1,1,46,1,287.6548,259.506,317.7028,2,1,3,2,1,0,0,259.506,279.7283,1.7751,20.2222,20,
117,1,1,1,47,0,105.9911,165.9754,316.6342,0,0,0,3,0,0,0,316.6342,313.1901,1.0918,-3.4441,30,
117,1,1,1,48,1,109.0699,259.4922,77.1462,3,1,2,1,0,1,0,109.0699,268.4367,0.88336,159.3668,0,
117,1,1,1,49,1,315.4649,347.3174,285.0467,1,2,3,1,1,0,0,315.4649,87.105,1.5001,131.64,0,
117,1,1,1,50,0,77.1828,225.2461,105.2482,0,0,0,1,0,0,0,77.1828,275.6503,2.3336,-161.5325,0,
117,1,1,1,51,1,17.3062,228.1966,259.5867,2,3,1,2,1,0,0,228.1966,179.3839,4.2168,-48.8127,0,
117,1,1,1,52,1,19.9049,195.6352,286.1612,1,3,2,1,1,0,0,19.9049,210.5953,1.4335,-169.3096,0,
117,1,1,1,53,0,19.2845,75.217,318.4581,0,0,0,2,0,0,0,75.217,50.6013,1.0667,-24.6156,10,
117,1,1,1,54,1,79.095,348.1246,228.6928,3,2,1,3,1,0,0,228.6928,297.6236,1.75,68.9308,0,
117,1,1,1,55,1,49.4771,227.9126,257.9137,1,3,2,1,1,0,0,49.4771,249.5609,1.6169,-159.9162,0,
117,1,1,1,56,1,47.0319,136.931,228.049,2,1,3,3,0,0,1,228.049,299.387,1.9917,71.338,0,
117,1,1,1,57,1,77.6151,16.6265,49.1592,2,3,1,2,1,0,0,16.6265,57.0007,0.9334,40.3742,0,
117,1,1,1,58,0,137.6428,345.2572,78.7844,0,0,0,2,0,0,0,345.2572,65.8372,2.6085,80.58,0,
117,1,1,1,59,0,168.7425,317.7165,226.6907,0,0,0,2,0,0,0,317.7165,56.3358,1.9501,98.6193,0,
117,1,1,1,60,1,315.1258,197.0721,138.657,2,1,3,3,0,0,1,138.657,231.7518,3.1418,93.0947,0,
117,1,2,1,61,0,315.8145,169.192,195.8378,0,0,0,3,0,0,0,195.8378,300.0046,1.0083,104.1668,0,
117,1,2,1,62,0,109.7017,135.0292,228.0515,0,0,0,2,0,0,0,135.0292,64.4645,1.6501,-70.5647,0,
117,1,2,1,63,1,256.4523,47.0128,289.3103,1,3,2,3,0,1,0,289.3103,293.2203,1.4419,3.91,30,
117,1,2,1,64,1,319.2054,76.7725,167.1503,1,3,2,2,0,0,1,76.7725,62.0142,1.575,-14.7584,20,
117,1,2,1,65,1,289.8173,135.4295,167.5025,3,2,1,3,1,0,0,167.5025,169.2361,1.3751,1.7337,40,
117,1,2,1,66,0,46.5193,197.4165,346.6891,0,0,0,1,0,0,0,46.5193,39.482,1.5251,-7.0372,30,
117,1,2,1,67,0,79.9262,107.7974,169.668,0,0,0,2,0,0,0,107.7974,80.2109,1.2168,-27.5865,10,
117,1,2,1,68,1,135.5422,165.1806,228.0905,2,1,3,2,1,0,0,165.1806,141.0326,1.3667,-24.1479,10,
117,1,2,1,69,0,259.4502,346.651,166.1485,0,0,0,1,0,0,0,259.4502,177.3625,0.99169,-82.0877,0,
117,1,2,1,70,0,135.5697,19.8928,79.243,0,0,0,3,0,0,0,79.243,60.8775,1.6334,-18.3655,20,
117,1,2,1,71,0,285.5402,17.2994,137.2544,0,0,0,3,0,0,0,137.2544,290.7349,0.78334,153.4805,0,
117,1,2,1,72,1,138.7045,347.534,165.9996,2,3,1,2,1,0,0,347.534,155.0208,1.5417,167.4868,0,
117,1,2,1,73,1,169.3879,345.0718,46.4715,1,2,3,1,1,0,0,169.3879,176.8266,1.2501,7.4387,30,
117,1,2,1,74,1,227.7164,78.5126,19.7822,2,1,3,2,1,0,0,78.5126,135.9971,1.2334,57.4845,0,
117,1,2,1,75,0,78.8751,319.5709,48.9128,0,0,0,2,0,0,0,319.5709,315.1348,2.2585,-4.4361,30,
117,1,2,1,76,0,48.4957,168.9813,137.2079,0,0,0,3,0,0,0,137.2079,287.5824,1.9668,150.3745,0,
117,1,2,1,77,0,315.7287,287.9252,345.3668,0,0,0,3,0,0,0,345.3668,310.234,1.7335,-35.1328,0,
117,1,2,1,78,0,286.8252,226.5457,315.6046,0,0,0,1,0,0,0,286.8252,263.81,1.8669,-23.0152,10,
117,1,2,1,79,1,256.6999,319.2336,46.2303,1,3,2,1,1,0,0,256.6999,181.9525,1.3251,-74.7474,0,
117,1,2,1,80,1,135.68,78.9445,105.462,2,1,3,1,0,1,0,135.68,262.8286,2.2751,127.1486,0,
117,1,2,1,81,1,75.0988,319.8215,349.8519,2,3,1,2,1,0,0,319.8215,61.215,1.7501,101.3936,0,
117,1,2,1,82,0,19.6916,226.2771,107.6658,0,0,0,2,0,0,0,226.2771,240.897,2.7668,14.6199,20,
117,1,2,1,83,0,138.9798,226.1669,78.0042,0,0,0,2,0,0,0,226.1669,232.6535,1.6,6.4866,30,
117,1,2,1,84,0,346.4868,16.9821,317.1038,0,0,0,3,0,0,0,317.1038,316.579,1.2918,-0.52474,40,
117,1,2,1,85,1,317.7541,79.3545,195.2113,1,2,3,2,0,1,0,79.3545,57.5829,1.0585,-21.7717,10,
117,1,2,1,86,1,47.5997,169.9459,257.4496,3,2,1,1,0,0,1,47.5997,159.5255,2.7751,111.9258,0,
117,1,2,1,87,1,79.0846,195.9474,105.6185,1,2,3,1,1,0,0,79.0846,233.5372,0.84173,154.4526,0,
117,1,2,1,88,1,76.6599,319.1987,286.8586,3,2,1,1,0,0,1,76.6599,268.183,1.8335,-168.477,0,
117,1,2,1,89,1,135.784,76.6302,46.5703,1,2,3,1,1,0,0,135.784,131.9932,1.0668,-3.7909,30,
117,1,2,1,90,0,286.0726,228.3995,167.7865,0,0,0,3,0,0,0,167.7865,132.1351,1.9834,-35.6514,0,
117,1,2,1,91,1,287.0116,195.9092,139.2813,2,3,1,3,0,1,0,139.2813,154.8355,1.6251,15.5543,20,
117,1,2,1,92,1,225.9992,318.0367,107.7152,3,2,1,1,0,0,1,225.9992,241.6458,1.5001,15.6467,20,
117,1,2,1,93,1,48.791,169.4352,15.344,1,3,2,1,1,0,0,48.791,73.444,1.2501,24.653,10,
117,1,2,1,94,0,16.9081,317.8384,169.4393,0,0,0,1,0,0,0,16.9081,81.7178,1.5001,64.8098,0,
117,1,2,1,95,1,139.6308,166.4925,256.6904,2,3,1,3,0,1,0,256.6904,289.0495,1.5751,32.359,0,
117,1,2,1,96,1,346.3991,77.235,47.9379,1,2,3,1,1,0,0,346.3991,172.0914,1.2335,-174.3078,0,
117,1,2,1,97,1,349.442,316.1658,289.308,2,3,1,2,1,0,0,316.1658,10.5568,1.4584,54.3909,0,
117,1,2,1,98,0,287.6372,108.625,348.0371,0,0,0,2,0,0,0,108.625,99.734,0.90013,-8.8909,30,
117,1,2,1,99,0,349.0746,135.7025,259.3993,0,0,0,1,0,0,0,349.0746,174.0937,1.2334,-174.981,0,
117,1,2,1,100,0,15.4219,229.8604,285.1573,0,0,0,2,0,0,0,229.8604,191.7065,2.3584,-38.1539,0,
