Subject,Session,Block,Condition,Trial,whetherCued,leftStim,rightStim,midStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
104,1,1,2,1,0,136.1214,256.3453,18.3652,0,0,0,3,0,0,0,18.3652,72.5527,2.2566,54.1876,0,
104,1,1,2,2,1,289.4795,225.4954,105.2208,2,3,1,2,1,0,0,225.4954,229.6037,1.2221,4.1082,30,
104,1,1,2,3,1,347.5064,287.1586,109.9878,1,3,2,1,1,0,0,347.5064,298.0759,1.5068,-49.4306,0,
104,1,1,2,4,0,348.6529,108.2324,289.1658,0,0,0,2,0,0,0,108.2324,89.4842,1.5623,-18.7482,20,
104,1,1,2,5,0,107.4617,228.4737,289.8637,0,0,0,3,0,0,0,289.8637,85.9752,2.1521,156.1115,0,
104,1,1,2,6,1,138.3022,255.2378,226.7439,1,3,2,2,0,0,1,255.2378,261.3299,2.3398,6.0922,30,
104,1,1,2,7,1,197.5189,257.448,49.3852,1,3,2,1,1,0,0,197.5189,193.6524,1.479,-3.8665,30,
104,1,1,2,8,1,105.0963,165.4194,19.874,3,1,2,3,1,0,0,19.874,22.1611,1.0622,2.2871,40,
104,1,1,2,9,1,349.6502,286.9951,105.237,2,3,1,2,1,0,0,286.9951,351.773,1.4374,64.7779,0,
104,1,1,2,10,1,259.389,197.9122,285.3534,3,2,1,3,1,0,0,285.3534,261.0344,1.1388,-24.319,10,
104,1,1,2,11,1,317.5194,78.234,226.5387,2,1,3,2,1,0,0,78.234,84.5986,1.0622,6.3646,30,
104,1,1,2,12,0,226.4331,199.0041,19.4806,0,0,0,2,0,0,0,199.0041,194.2939,1.347,-4.7102,30,
104,1,1,2,13,1,199.1477,319.2454,226.8627,2,3,1,2,1,0,0,319.2454,342.452,1.2567,23.2065,10,
104,1,1,2,14,1,198.7837,137.0852,229.8589,3,2,1,1,0,0,1,198.7837,198.5077,1.4023,-0.27604,40,
104,1,1,2,15,1,317.252,136.0284,79.4983,2,3,1,2,1,0,0,136.0284,166.405,1.2981,30.3766,0,
104,1,1,2,16,1,166.9501,227.4895,288.474,3,1,2,3,1,0,0,288.474,286.6811,1.4304,-1.7929,40,
104,1,1,2,17,0,255.5852,109.0734,346.6243,0,0,0,3,0,0,0,346.6243,16.4137,1.2429,29.7894,10,
104,1,1,2,18,0,19.1594,45.6717,75.3023,0,0,0,2,0,0,0,45.6717,50.384,1.1592,4.7123,30,
104,1,1,2,19,1,139.9843,17.7677,197.5773,1,2,3,1,1,0,0,139.9843,126.9473,1.2082,-13.037,20,
104,1,1,2,20,1,169.6556,105.9539,16.2929,3,2,1,1,0,0,1,169.6556,148.2308,1.1735,-21.4248,10,
104,1,1,2,21,1,198.6008,256.7345,227.585,1,3,2,1,1,0,0,198.6008,194.6212,1.2429,-3.9796,30,
104,1,1,2,22,1,47.1514,228.4688,289.7261,3,2,1,3,1,0,0,289.7261,287.3965,1.2013,-2.3296,40,
104,1,1,2,23,1,288.3452,197.5011,346.09,3,2,1,3,1,0,0,346.09,13.1413,1.2223,27.0513,10,
104,1,1,2,24,1,229.3193,135.4885,169.5403,2,3,1,2,1,0,0,135.4885,147.2262,1.4095,11.7377,30,
104,1,1,2,25,0,137.5392,347.928,18.8144,0,0,0,3,0,0,0,18.8144,11.1821,1.361,-7.6323,30,
104,1,1,2,26,1,17.7694,108.4003,196.8359,3,1,2,3,1,0,0,196.8359,197.0432,1.4304,0.2073,40,
