Subject,Session,Block,Condition,Trial,whetherCued,leftStim,rightStim,midStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
121,1,1,1,1,1,285.3167,75.3195,349.6993,2,3,1,2,1,0,0,75.3195,71.1879,1.1729,-4.1316,30,
121,1,1,1,2,0,317.7602,47.7922,225.3341,0,0,0,2,0,0,0,47.7922,64.8788,0.78469,17.0866,20,
121,1,1,1,3,1,345.9818,317.6386,285.7384,3,1,2,1,0,1,0,345.9818,179.7502,1.5967,-166.2317,0,
121,1,1,1,4,1,15.6096,196.4513,135.3117,1,2,3,1,1,0,0,15.6096,178.8092,0.58329,163.1997,0,
121,1,1,1,5,1,46.0894,18.765,77.5992,3,1,2,3,1,0,0,77.5992,44.3668,0.083261,-33.2324,0,
121,1,1,1,6,1,136.9584,228.1068,79.8258,1,2,3,1,1,0,0,136.9584,134.3607,0.81244,-2.5977,40,
121,1,1,1,7,0,289.1912,319.5068,107.2497,0,0,0,1,0,0,0,289.1912,298.4806,1.9166,9.2895,30,
121,1,1,1,8,1,49.572,257.4728,198.5512,2,1,3,2,1,0,0,257.4728,236.385,1.243,-21.0878,10,
121,1,1,1,9,0,165.1693,347.2055,255.6489,0,0,0,3,0,0,0,255.6489,278.9715,1.826,23.3226,10,
121,1,1,1,10,0,228.007,199.7351,258.1561,0,0,0,3,0,0,0,258.1561,256.3994,0.95822,-1.7567,40,
121,1,1,1,11,1,47.5178,139.5352,315.6181,2,3,1,3,0,1,0,315.6181,344.4222,1.6037,28.8041,10,
121,1,1,1,12,1,48.1707,168.8863,199.4925,3,2,1,3,1,0,0,199.4925,207.5505,1.1526,8.058,30,
121,1,1,1,13,1,45.8059,17.0895,196.8453,1,2,3,1,1,0,0,45.8059,76.4489,1.1315,30.6431,0,
121,1,1,1,14,1,226.5243,18.8994,167.4361,2,1,3,2,1,0,0,18.8994,55.1489,1.1736,36.2495,0,
121,1,1,1,15,1,107.2871,288.6659,137.7912,3,2,1,2,0,1,0,288.6659,239.4179,2.3956,-49.248,0,
121,1,1,1,16,1,345.9916,285.1034,258.9614,2,3,1,1,0,0,1,345.9916,306.2834,1.7988,-39.7083,0,
121,1,1,1,17,0,17.4427,165.3267,137.2849,0,0,0,1,0,0,0,17.4427,23.1238,4.7009,5.6811,30,
121,1,1,1,18,1,225.5959,45.6461,285.3898,2,1,3,2,1,0,0,45.6461,59.4815,1.3819,13.8354,20,
121,1,1,1,19,0,345.5065,167.3447,108.5532,0,0,0,1,0,0,0,345.5065,177.4812,1.1665,-168.0253,0,
121,1,1,1,20,1,195.0114,49.7227,228.9624,1,3,2,1,1,0,0,195.0114,180.6611,0.92352,-14.3503,20,
121,1,1,1,21,1,318.2166,139.1068,106.8927,2,3,1,1,0,0,1,318.2166,309.2382,1.6735,-8.9784,30,
121,1,1,1,22,0,18.1388,289.0957,195.9448,0,0,0,2,0,0,0,289.0957,296.2807,1.6249,7.185,30,
121,1,1,1,23,0,229.4223,166.7051,346.0256,0,0,0,1,0,0,0,229.4223,193.9278,1.6318,-35.4945,0,
121,1,1,1,24,1,49.0602,75.163,347.0752,3,1,2,3,1,0,0,347.0752,288.1544,1.9372,-58.9209,0,
121,1,1,1,25,0,346.1367,139.5344,49.3449,0,0,0,3,0,0,0,49.3449,293.1569,1.1874,-116.188,0,
121,1,1,1,26,1,77.8374,108.2883,348.4279,2,1,3,1,0,1,0,77.8374,53.1701,2.0345,-24.6673,10,
121,1,1,1,27,1,77.0033,256.8647,17.2163,1,3,2,1,1,0,0,77.0033,69.1209,2.0623,-7.8824,30,
121,1,1,1,28,1,288.4182,45.772,199.8716,2,1,3,3,0,0,1,199.8716,290.1429,0.85392,90.2713,0,
121,1,1,1,29,1,255.4666,286.0334,316.5138,1,2,3,2,0,1,0,286.0334,296.8006,1.2708,10.7672,30,
121,1,1,1,30,0,167.4432,225.3904,107.6503,0,0,0,3,0,0,0,107.6503,85.1919,2.1663,-22.4584,10,
121,1,1,1,31,0,348.6538,109.5044,167.3202,0,0,0,1,0,0,0,348.6538,349.9682,1.9024,1.3144,40,
